SECONDS;PID;VALUE;UNITS;
73666.753182;Average speed;0;mph;
73667.350182;Average speed;0;mph;
73667.917182;Average speed;0;mph;
73668.546182;Average speed;0;mph;
73669.345182;Average speed;0;mph;
73669.791182;Average speed;0;mph;
73670.560182;Average speed;0;mph;
73671.137182;Average speed;0;mph;
73672.298182;Average speed;0;mph;
73673.249182;Average speed;0;mph;
73674.407182;Average speed;0;mph;
73675.054182;Average speed;0;mph;
73676.163182;Average speed;0;mph;
73676.750182;Average speed;0;mph;
73677.450182;Average speed;0;mph;
73678.148182;Average speed;0;mph;
73678.745182;Average speed;0;mph;
73679.323182;Average speed;0;mph;
73679.940182;Average speed;0;mph;
73680.648182;Average speed;0;mph;
73681.333182;Average speed;0;mph;
73681.890182;Average speed;0;mph;
73682.589182;Average speed;0;mph;
73683.146182;Average speed;0;mph;
73683.753182;Average speed;0;mph;
73684.553182;Average speed;0;mph;
73685.190182;Average speed;0;mph;
73685.787182;Average speed;0;mph;
73686.363182;Average speed;0;mph;
73686.960182;Average speed;0;mph;
73687.587182;Average speed;0;mph;
73688.214182;Average speed;0;mph;
73688.912182;Average speed;0;mph;
73689.499182;Average speed;0;mph;
73690.035182;Average speed;0;mph;
73690.652182;Average speed;0;mph;
73691.382182;Average speed;0;mph;
73692.356182;Average speed;0;mph;
73693.390182;Average speed;0;mph;
73694.230182;Average speed;0;mph;
73695.091182;Average speed;0;mph;
73696.344182;Average speed;0;mph;
73697.644182;Average speed;0;mph;
73699.044182;Average speed;0;mph;
73700.342182;Average speed;0;mph;
73701.806182;Average speed;0;mph;
73702.992182;Average speed;0;mph;
73703.626182;Average speed;0;mph;
73704.281182;Average speed;0;mph;
73705.000182;Average speed;0;mph;
73705.607182;Average speed;0;mph;
73706.255182;Average speed;0;mph;
73706.864182;Average speed;0;mph;
73707.441182;Average speed;0;mph;
73708.128182;Average speed;0;mph;
73708.675182;Average speed;0;mph;
73709.332182;Average speed;0;mph;
73709.969182;Average speed;0;mph;
73710.485182;Average speed;0;mph;
73711.144182;Average speed;0;mph;
73711.854182;Average speed;0;mph;
73712.512182;Average speed;0;mph;
73713.250182;Average speed;0;mph;
73713.848182;Average speed;0;mph;
73714.567182;Average speed;0;mph;
73715.327182;Average speed;0;mph;
73715.949182;Average speed;0;mph;
73716.853182;Average speed;0;mph;
73718.151182;Average speed;0;mph;
73719.511182;Average speed;0;mph;
73720.890182;Average speed;0;mph;
73722.540182;Average speed;0;mph;
73724.078182;Average speed;0;mph;
73725.402182;Average speed;0;mph;
73726.754182;Average speed;0;mph;
73728.242182;Average speed;0;mph;
73729.608182;Average speed;0;mph;
73731.086182;Average speed;0;mph;
73732.407182;Average speed;0;mph;
73733.189182;Average speed;0;mph;
73733.839182;Average speed;0;mph;
73734.587182;Average speed;0;mph;
73735.143182;Average speed;0;mph;
73735.852182;Average speed;0;mph;
73737.343182;Average speed;0;mph;
73738.655182;Average speed;0;mph;
73740.254182;Average speed;0;mph;
73741.688182;Average speed;0;mph;
73743.145182;Average speed;0;mph;
73744.422182;Average speed;0;mph;
73745.032182;Average speed;0;mph;
73745.750182;Average speed;0;mph;
73746.298182;Average speed;0;mph;
73746.966182;Average speed;0;mph;
73747.573182;Average speed;0;mph;
73748.151182;Average speed;0;mph;
73748.830182;Average speed;0;mph;
73749.478182;Average speed;0;mph;
73750.127182;Average speed;0;mph;
73750.756182;Average speed;0;mph;
73751.444182;Average speed;0;mph;
73752.123182;Average speed;0;mph;
73752.764182;Average speed;0;mph;
73753.571182;Average speed;0;mph;
73754.882182;Average speed;0;mph;
73756.118182;Average speed;0;mph;
73757.587182;Average speed;0;mph;
73759.264182;Average speed;0;mph;
73760.957182;Average speed;0;mph;
73762.179182;Average speed;0;mph;
73763.782182;Average speed;0;mph;
73765.512182;Average speed;0;mph;
73766.185182;Average speed;0;mph;
73766.857182;Average speed;0;mph;
73767.475182;Average speed;0;mph;
73768.083182;Average speed;0;mph;
73768.681182;Average speed;0;mph;
73769.350182;Average speed;0;mph;
73769.977182;Average speed;0;mph;
73770.605182;Average speed;0;mph;
73771.334182;Average speed;0;mph;
73771.973182;Average speed;0;mph;
73772.570182;Average speed;0;mph;
73773.259182;Average speed;0;mph;
73773.745182;Average speed;0;mph;
73774.453182;Average speed;0;mph;
73775.051182;Average speed;0;mph;
73775.648182;Average speed;0;mph;
73776.175182;Average speed;0;mph;
73776.711182;Average speed;0;mph;
73777.339182;Average speed;0;mph;
73777.906182;Average speed;0;mph;
73778.573182;Average speed;0;mph;
73779.111182;Average speed;0;mph;
73779.612182;Average speed;0;mph;
73780.269182;Average speed;0;mph;
73781.636182;Average speed;0;mph;
73782.864182;Average speed;0;mph;
73784.237182;Average speed;0;mph;
73785.538182;Average speed;0;mph;
73786.900182;Average speed;0;mph;
73788.074182;Average speed;0;mph;
73789.439182;Average speed;0;mph;
73790.840182;Average speed;0;mph;
73792.449182;Average speed;0;mph;
73794.041182;Average speed;0;mph;
73795.156182;Average speed;0;mph;
73795.769182;Average speed;0;mph;
73796.367182;Average speed;0;mph;
73796.974182;Average speed;0;mph;
73797.611182;Average speed;0;mph;
73798.249182;Average speed;0;mph;
73798.868182;Average speed;0;mph;
73799.517182;Average speed;0;mph;
73799.995182;Average speed;0;mph;
73800.633182;Average speed;0;mph;
73801.231182;Average speed;0;mph;
73801.758182;Average speed;0;mph;
73802.508182;Average speed;0;mph;
73803.590182;Average speed;0;mph;
73804.148182;Average speed;0;mph;
73805.397182;Average speed;0;mph;
73806.086182;Average speed;0;mph;
73806.695182;Average speed;0;mph;
73807.543182;Average speed;0;mph;
73808.766182;Average speed;0;mph;
73809.939182;Average speed;0;mph;
73810.738182;Average speed;0;mph;
73811.427182;Average speed;0;mph;
73812.215182;Average speed;0;mph;
73812.813182;Average speed;0;mph;
73813.551182;Average speed;0;mph;
73814.249182;Average speed;0;mph;
73814.917182;Average speed;0;mph;
73815.545182;Average speed;0;mph;
73816.804182;Average speed;0;mph;
73817.361182;Average speed;0;mph;
73817.998182;Average speed;0;mph;
73818.595182;Average speed;0;mph;
73819.175182;Average speed;0;mph;
73819.782182;Average speed;0.00735835065338091;mph;
73820.520182;Average speed;0.0132510465797663;mph;
73821.178182;Average speed;0.0131949295492179;mph;
73821.816182;Average speed;0.0131409324663416;mph;
73822.474182;Average speed;0.0130856980953773;mph;
73823.142182;Average speed;0.0130301419715011;mph;
