SECONDS;PID;VALUE;UNITS;
73664.597182;Calculated boost;-0.68325;bar;
73665.692182;Calculated boost;-0.67325;bar;
73666.692182;Calculated boost;-0.65;bar;
73667.290182;Calculated boost;-0.67;bar;
73667.877182;Calculated boost;-0.65;bar;
73668.475182;Calculated boost;-0.65;bar;
73669.244182;Calculated boost;-0.66;bar;
73669.750182;Calculated boost;-0.66;bar;
73670.519182;Calculated boost;-0.66;bar;
73671.046182;Calculated boost;-0.68;bar;
73672.177182;Calculated boost;-0.7;bar;
73673.188182;Calculated boost;-0.69;bar;
73674.366182;Calculated boost;-0.7;bar;
73674.984182;Calculated boost;-0.7;bar;
73676.052182;Calculated boost;-0.7;bar;
73676.649182;Calculated boost;-0.7;bar;
73677.409182;Calculated boost;-0.7;bar;
73678.096182;Calculated boost;-0.7;bar;
73678.644182;Calculated boost;-0.7;bar;
73679.252182;Calculated boost;-0.7;bar;
73679.859182;Calculated boost;-0.71;bar;
73680.557182;Calculated boost;-0.69;bar;
73681.246182;Calculated boost;-0.65;bar;
73681.779182;Calculated boost;-0.68;bar;
73682.528182;Calculated boost;-0.65;bar;
73683.105182;Calculated boost;-0.67;bar;
73683.713182;Calculated boost;-0.65;bar;
73684.451182;Calculated boost;-0.66;bar;
73685.149182;Calculated boost;-0.65;bar;
73685.746182;Calculated boost;-0.66;bar;
73686.262182;Calculated boost;-0.65;bar;
73686.899182;Calculated boost;-0.66;bar;
73687.546182;Calculated boost;-0.65;bar;
73688.143182;Calculated boost;-0.66;bar;
73688.811182;Calculated boost;-0.65;bar;
73689.428182;Calculated boost;-0.69;bar;
73689.975182;Calculated boost;-0.7;bar;
73690.591182;Calculated boost;-0.69;bar;
73691.300182;Calculated boost;-0.7;bar;
73692.225182;Calculated boost;-0.71;bar;
73693.268182;Calculated boost;-0.71;bar;
73694.185182;Calculated boost;-0.7;bar;
73695.051182;Calculated boost;-0.7;bar;
73696.210182;Calculated boost;-0.71;bar;
73697.470182;Calculated boost;-0.7;bar;
73698.933182;Calculated boost;-0.68;bar;
73700.135182;Calculated boost;-0.69;bar;
73701.584182;Calculated boost;-0.67;bar;
73702.796182;Calculated boost;-0.67;bar;
73703.515182;Calculated boost;-0.66;bar;
73704.240182;Calculated boost;-0.64;bar;
73704.959182;Calculated boost;-0.66;bar;
73705.516182;Calculated boost;-0.66;bar;
73706.185182;Calculated boost;-0.66;bar;
73706.813182;Calculated boost;-0.66;bar;
73707.380182;Calculated boost;-0.68;bar;
