SECONDS;PID;VALUE;UNITS;
73664.344182;Calculated engine load value;21.9607843137255;%;
73665.530182;Calculated engine load value;27.0588235294118;%;
73666.621182;Calculated engine load value;29.4117647058824;%;
73667.229182;Calculated engine load value;23.5294117647059;%;
73667.735182;Calculated engine load value;27.0588235294118;%;
73668.394182;Calculated engine load value;30.1960784313725;%;
73669.022182;Calculated engine load value;31.3725490196078;%;
73669.660182;Calculated engine load value;30.9803921568627;%;
73670.368182;Calculated engine load value;22.3529411764706;%;
73670.955182;Calculated engine load value;16.8627450980392;%;
73671.875182;Calculated engine load value;16.8627450980392;%;
73673.076182;Calculated engine load value;17.2549019607843;%;
73673.634182;Calculated engine load value;23.921568627451;%;
73674.862182;Calculated engine load value;25.0980392156863;%;
73675.489182;Calculated engine load value;16.8627450980392;%;
73676.588182;Calculated engine load value;16.8627450980392;%;
73677.267182;Calculated engine load value;19.2156862745098;%;
73678.005182;Calculated engine load value;24.7058823529412;%;
73678.583182;Calculated engine load value;25.8823529411765;%;
73679.161182;Calculated engine load value;18.0392156862745;%;
73679.778182;Calculated engine load value;26.6666666666667;%;
73680.426182;Calculated engine load value;20.7843137254902;%;
73681.104182;Calculated engine load value;27.843137254902;%;
73681.708182;Calculated engine load value;17.2549019607843;%;
73682.447182;Calculated engine load value;32.156862745098;%;
73682.994182;Calculated engine load value;23.5294117647059;%;
73683.571182;Calculated engine load value;30.1960784313725;%;
73684.350182;Calculated engine load value;23.5294117647059;%;
73685.018182;Calculated engine load value;25.8823529411765;%;
73685.655182;Calculated engine load value;31.7647058823529;%;
73686.181182;Calculated engine load value;32.5490196078431;%;
73686.798182;Calculated engine load value;30.1960784313725;%;
73687.425182;Calculated engine load value;28.2352941176471;%;
73688.022182;Calculated engine load value;29.8039215686275;%;
73688.750182;Calculated engine load value;30.5882352941176;%;
73689.367182;Calculated engine load value;20;%;
73689.873182;Calculated engine load value;17.2549019607843;%;
73690.470182;Calculated engine load value;20.3921568627451;%;
73691.168182;Calculated engine load value;20;%;
73692.003182;Calculated engine load value;23.921568627451;%;
73693.076182;Calculated engine load value;20;%;
73694.093182;Calculated engine load value;23.921568627451;%;
73694.960182;Calculated engine load value;25.0980392156863;%;
73695.932182;Calculated engine load value;16.4705882352941;%;
73697.201182;Calculated engine load value;18.8235294117647;%;
73698.747182;Calculated engine load value;29.8039215686275;%;
73699.970182;Calculated engine load value;23.5294117647059;%;
73701.348182;Calculated engine load value;27.4509803921569;%;
73702.575182;Calculated engine load value;29.0196078431373;%;
73703.454182;Calculated engine load value;29.4117647058824;%;
73704.069182;Calculated engine load value;22.3529411764706;%;
73704.848182;Calculated engine load value;29.0196078431373;%;
73705.344182;Calculated engine load value;29.8039215686275;%;
73706.083182;Calculated engine load value;29.4117647058824;%;
73706.742182;Calculated engine load value;29.4117647058824;%;
73707.319182;Calculated engine load value;22.7450980392157;%;
73707.906182;Calculated engine load value;24.7058823529412;%;
73708.533182;Calculated engine load value;20.7843137254902;%;
73709.160182;Calculated engine load value;27.4509803921569;%;
73709.726182;Calculated engine load value;20.7843137254902;%;
73710.333182;Calculated engine load value;26.6666666666667;%;
73710.951182;Calculated engine load value;23.921568627451;%;
73711.631182;Calculated engine load value;18.8235294117647;%;
73712.360182;Calculated engine load value;17.2549019607843;%;
73713.028182;Calculated engine load value;26.6666666666667;%;
73713.655182;Calculated engine load value;20.3921568627451;%;
73714.345182;Calculated engine load value;24.7058823529412;%;
73715.104182;Calculated engine load value;17.6470588235294;%;
73715.767182;Calculated engine load value;27.0588235294118;%;
73716.518182;Calculated engine load value;20.7843137254902;%;
73717.766182;Calculated engine load value;21.9607843137255;%;
73719.101182;Calculated engine load value;24.3137254901961;%;
73720.516182;Calculated engine load value;22.7450980392157;%;
73722.039182;Calculated engine load value;30.5882352941176;%;
73723.640182;Calculated engine load value;30.1960784313725;%;
73724.940182;Calculated engine load value;29.8039215686275;%;
73726.371182;Calculated engine load value;20.7843137254902;%;
73727.751182;Calculated engine load value;26.6666666666667;%;
