SECONDS;PID;VALUE;UNITS;
73665.096182;Commanded evaporative purge;0;%;
73666.227182;Commanded evaporative purge;0;%;
73666.915182;Commanded evaporative purge;0;%;
73667.513182;Commanded evaporative purge;0;%;
73668.120182;Commanded evaporative purge;0;%;
73668.769182;Commanded evaporative purge;0;%;
73669.467182;Commanded evaporative purge;0;%;
73670.024182;Commanded evaporative purge;0;%;
73670.732182;Commanded evaporative purge;0;%;
73671.320182;Commanded evaporative purge;0;%;
73672.732182;Commanded evaporative purge;0;%;
73673.391182;Commanded evaporative purge;0;%;
73674.599182;Commanded evaporative purge;0;%;
73675.347182;Commanded evaporative purge;0;%;
73676.345182;Commanded evaporative purge;0;%;
73676.963182;Commanded evaporative purge;0;%;
73677.682182;Commanded evaporative purge;0;%;
73678.330182;Commanded evaporative purge;0;%;
73678.948182;Commanded evaporative purge;0;%;
73679.576182;Commanded evaporative purge;0;%;
73680.163182;Commanded evaporative purge;0;%;
73680.831182;Commanded evaporative purge;0;%;
73681.465182;Commanded evaporative purge;0;%;
73682.144182;Commanded evaporative purge;0;%;
73682.771182;Commanded evaporative purge;0;%;
73683.348182;Commanded evaporative purge;0;%;
73684.027182;Commanded evaporative purge;0;%;
73684.705182;Commanded evaporative purge;0;%;
73685.383182;Commanded evaporative purge;0;%;
73685.959182;Commanded evaporative purge;0;%;
73686.586182;Commanded evaporative purge;0;%;
73687.132182;Commanded evaporative purge;0;%;
73687.729182;Commanded evaporative purge;0;%;
73688.447182;Commanded evaporative purge;0;%;
73689.144182;Commanded evaporative purge;0;%;
73689.701182;Commanded evaporative purge;0;%;
73690.207182;Commanded evaporative purge;0;%;
73690.895182;Commanded evaporative purge;0;%;
73691.679182;Commanded evaporative purge;0;%;
73692.651182;Commanded evaporative purge;0;%;
73693.725182;Commanded evaporative purge;0;%;
73694.493182;Commanded evaporative purge;0;%;
73695.410182;Commanded evaporative purge;0;%;
73696.682182;Commanded evaporative purge;0;%;
73698.242182;Commanded evaporative purge;0;%;
73699.464182;Commanded evaporative purge;0;%;
73700.969182;Commanded evaporative purge;0;%;
73702.218182;Commanded evaporative purge;0;%;
73703.190182;Commanded evaporative purge;0;%;
73703.844182;Commanded evaporative purge;0;%;
73704.564182;Commanded evaporative purge;0;%;
73705.192182;Commanded evaporative purge;0;%;
73705.820182;Commanded evaporative purge;0;%;
73706.448182;Commanded evaporative purge;0;%;
73707.127182;Commanded evaporative purge;0;%;
73707.644182;Commanded evaporative purge;0;%;
73708.271182;Commanded evaporative purge;0;%;
73708.917182;Commanded evaporative purge;0;%;
73709.494182;Commanded evaporative purge;0;%;
73710.131182;Commanded evaporative purge;0;%;
73710.738182;Commanded evaporative purge;0;%;
73711.429182;Commanded evaporative purge;0;%;
73712.097182;Commanded evaporative purge;0;%;
73712.735182;Commanded evaporative purge;0;%;
73713.433182;Commanded evaporative purge;0;%;
73714.131182;Commanded evaporative purge;0;%;
73714.800182;Commanded evaporative purge;0;%;
73715.510182;Commanded evaporative purge;0;%;
73716.144182;Commanded evaporative purge;0;%;
73717.236182;Commanded evaporative purge;0;%;
73718.661182;Commanded evaporative purge;0;%;
73719.979182;Commanded evaporative purge;0;%;
73721.470182;Commanded evaporative purge;0;%;
73723.145182;Commanded evaporative purge;0;%;
73724.617182;Commanded evaporative purge;0;%;
73725.862182;Commanded evaporative purge;0;%;
73727.241182;Commanded evaporative purge;0;%;
73728.673182;Commanded evaporative purge;0;%;
73730.159182;Commanded evaporative purge;0;%;
73731.443182;Commanded evaporative purge;0;%;
73732.729182;Commanded evaporative purge;0;%;
73733.433182;Commanded evaporative purge;0;%;
73734.152182;Commanded evaporative purge;0;%;
73734.730182;Commanded evaporative purge;0;%;
73735.316182;Commanded evaporative purge;0;%;
73736.275182;Commanded evaporative purge;0;%;
73737.752182;Commanded evaporative purge;0;%;
73739.243182;Commanded evaporative purge;0;%;
73740.744182;Commanded evaporative purge;0;%;
73742.217182;Commanded evaporative purge;0;%;
73743.651182;Commanded evaporative purge;0;%;
73744.604182;Commanded evaporative purge;0;%;
73745.274182;Commanded evaporative purge;0;%;
73745.943182;Commanded evaporative purge;0;%;
73746.541182;Commanded evaporative purge;0;%;
73747.208182;Commanded evaporative purge;0;%;
73747.766182;Commanded evaporative purge;0;%;
73748.394182;Commanded evaporative purge;0;%;
73749.063182;Commanded evaporative purge;0;%;
73749.712182;Commanded evaporative purge;0;%;
73750.270182;Commanded evaporative purge;0;%;
73751.049182;Commanded evaporative purge;0;%;
73751.657182;Commanded evaporative purge;0;%;
73752.386182;Commanded evaporative purge;0;%;
73752.969182;Commanded evaporative purge;0;%;
73753.940182;Commanded evaporative purge;0;%;
73755.405182;Commanded evaporative purge;0;%;
73756.616182;Commanded evaporative purge;0;%;
73758.218182;Commanded evaporative purge;0;%;
73759.842182;Commanded evaporative purge;0;%;
73761.416182;Commanded evaporative purge;0;%;
73762.721182;Commanded evaporative purge;0;%;
73764.349182;Commanded evaporative purge;0;%;
73765.810182;Commanded evaporative purge;0;%;
73766.523182;Commanded evaporative purge;0;%;
73767.090182;Commanded evaporative purge;0;%;
73767.688182;Commanded evaporative purge;0;%;
73768.316182;Commanded evaporative purge;0;%;
73768.905182;Commanded evaporative purge;0;%;
73769.563182;Commanded evaporative purge;0;%;
73770.220182;Commanded evaporative purge;0;%;
73770.828182;Commanded evaporative purge;0;%;
73771.557182;Commanded evaporative purge;0;%;
73772.165182;Commanded evaporative purge;0;%;
73772.823182;Commanded evaporative purge;0;%;
73773.441182;Commanded evaporative purge;0;%;
73773.998182;Commanded evaporative purge;0;%;
73774.605182;Commanded evaporative purge;0;%;
73775.223182;Commanded evaporative purge;0;%;
73775.790182;Commanded evaporative purge;0;%;
73776.337182;Commanded evaporative purge;0;%;
73776.975182;Commanded evaporative purge;0;%;
73777.541182;Commanded evaporative purge;0;%;
73778.209182;Commanded evaporative purge;0;%;
73778.776182;Commanded evaporative purge;0;%;
73779.233182;Commanded evaporative purge;0;%;
73779.776182;Commanded evaporative purge;0;%;
73780.835182;Commanded evaporative purge;0;%;
73782.082182;Commanded evaporative purge;0;%;
73783.418182;Commanded evaporative purge;0;%;
73784.692182;Commanded evaporative purge;0;%;
73785.959182;Commanded evaporative purge;0;%;
73787.239182;Commanded evaporative purge;0;%;
73788.520182;Commanded evaporative purge;0;%;
73789.967182;Commanded evaporative purge;0;%;
73791.370182;Commanded evaporative purge;0;%;
73792.975182;Commanded evaporative purge;0;%;
73794.522182;Commanded evaporative purge;0;%;
73795.349182;Commanded evaporative purge;0;%;
73795.932182;Commanded evaporative purge;0;%;
73796.549182;Commanded evaporative purge;0;%;
73797.237182;Commanded evaporative purge;0;%;
73797.814182;Commanded evaporative purge;0;%;
73798.452182;Commanded evaporative purge;0;%;
73799.131182;Commanded evaporative purge;0;%;
73799.701182;Commanded evaporative purge;0;%;
73800.197182;Commanded evaporative purge;0;%;
73800.876182;Commanded evaporative purge;0;%;
73801.373182;Commanded evaporative purge;0;%;
73801.940182;Commanded evaporative purge;0;%;
73803.034182;Commanded evaporative purge;0;%;
73803.813182;Commanded evaporative purge;0;%;
73804.342182;Commanded evaporative purge;0;%;
73805.651182;Commanded evaporative purge;0;%;
73806.339182;Commanded evaporative purge;0;%;
73806.907182;Commanded evaporative purge;0;%;
73808.019182;Commanded evaporative purge;0;%;
73808.968182;Commanded evaporative purge;0;%;
73810.273182;Commanded evaporative purge;0;%;
73810.971182;Commanded evaporative purge;0;%;
73811.730182;Commanded evaporative purge;0;%;
73812.408182;Commanded evaporative purge;0;%;
73813.005182;Commanded evaporative purge;0;%;
73813.754182;Commanded evaporative purge;0;%;
73814.432182;Commanded evaporative purge;0;%;
73815.160182;Commanded evaporative purge;0;%;
73815.738182;Commanded evaporative purge;0;%;
73817.016182;Commanded evaporative purge;0;%;
73817.614182;Commanded evaporative purge;0;%;
73818.241182;Commanded evaporative purge;0;%;
73818.767182;Commanded evaporative purge;0;%;
73819.357182;Commanded evaporative purge;0;%;
73819.974182;Commanded evaporative purge;0;%;
73820.763182;Commanded evaporative purge;0;%;
73821.371182;Commanded evaporative purge;0;%;
73821.998182;Commanded evaporative purge;0;%;
73822.727182;Commanded evaporative purge;0;%;
73823.364182;Commanded evaporative purge;0;%;
73823.981182;Commanded evaporative purge;0;%;
73824.659182;Commanded evaporative purge;0;%;
73825.337182;Commanded evaporative purge;0;%;
73825.884182;Commanded evaporative purge;0;%;
73826.390182;Commanded evaporative purge;0;%;
73827.038182;Commanded evaporative purge;0;%;
73827.675182;Commanded evaporative purge;0;%;
73828.353182;Commanded evaporative purge;0;%;
73829.091182;Commanded evaporative purge;0;%;
73829.719182;Commanded evaporative purge;0;%;
73830.327182;Commanded evaporative purge;0;%;
73831.287182;Commanded evaporative purge;0;%;
73832.539182;Commanded evaporative purge;0;%;
73833.167182;Commanded evaporative purge;0;%;
73833.764182;Commanded evaporative purge;0;%;
73834.342182;Commanded evaporative purge;0;%;
73834.940182;Commanded evaporative purge;0;%;
73835.608182;Commanded evaporative purge;0;%;
73836.075182;Commanded evaporative purge;0;%;
73836.703182;Commanded evaporative purge;0;%;
73837.300182;Commanded evaporative purge;0;%;
73837.896182;Commanded evaporative purge;0;%;
73838.514182;Commanded evaporative purge;0;%;
73839.252182;Commanded evaporative purge;0;%;
73839.839182;Commanded evaporative purge;0;%;
73840.446182;Commanded evaporative purge;0;%;
73841.094182;Commanded evaporative purge;0;%;
73841.701182;Commanded evaporative purge;0;%;
73842.369182;Commanded evaporative purge;0;%;
73842.940182;Commanded evaporative purge;0;%;
73843.557182;Commanded evaporative purge;0;%;
73846.858182;Commanded evaporative purge;0;%;
73847.465182;Commanded evaporative purge;0;%;
73848.194182;Commanded evaporative purge;0;%;
73848.750182;Commanded evaporative purge;0;%;
73849.478182;Commanded evaporative purge;0;%;
73850.086182;Commanded evaporative purge;0;%;
73850.682182;Commanded evaporative purge;0;%;
73851.372182;Commanded evaporative purge;0;%;
73851.979182;Commanded evaporative purge;0;%;
73852.596182;Commanded evaporative purge;0;%;
73853.254182;Commanded evaporative purge;0;%;
73853.951182;Commanded evaporative purge;0;%;
73854.528182;Commanded evaporative purge;0;%;
73855.277182;Commanded evaporative purge;0;%;
73855.944182;Commanded evaporative purge;0;%;
73857.145182;Commanded evaporative purge;0;%;
73858.296182;Commanded evaporative purge;0;%;
73858.954182;Commanded evaporative purge;0;%;
73859.490182;Commanded evaporative purge;0;%;
73860.197182;Commanded evaporative purge;0;%;
73860.733182;Commanded evaporative purge;0;%;
73861.441182;Commanded evaporative purge;0;%;
73862.058182;Commanded evaporative purge;0;%;
73862.655182;Commanded evaporative purge;0;%;
73863.253182;Commanded evaporative purge;0;%;
73863.870182;Commanded evaporative purge;0;%;
73864.438182;Commanded evaporative purge;0;%;
73865.125182;Commanded evaporative purge;0;%;
73865.752182;Commanded evaporative purge;0;%;
73866.410182;Commanded evaporative purge;0;%;
73867.027182;Commanded evaporative purge;0;%;
73867.686182;Commanded evaporative purge;0;%;
73868.304182;Commanded evaporative purge;0;%;
