SECONDS;PID;VALUE;UNITS;
73665.873182;Distance travelled (total);0;miles;
73666.753182;Distance travelled (total);0;miles;
73667.350182;Distance travelled (total);0;miles;
73667.917182;Distance travelled (total);0;miles;
73668.546182;Distance travelled (total);0;miles;
73669.345182;Distance travelled (total);0;miles;
73669.791182;Distance travelled (total);0;miles;
73670.560182;Distance travelled (total);0;miles;
73671.137182;Distance travelled (total);0;miles;
73672.298182;Distance travelled (total);0;miles;
73673.249182;Distance travelled (total);0;miles;
73674.407182;Distance travelled (total);0;miles;
73675.054182;Distance travelled (total);0;miles;
73676.163182;Distance travelled (total);0;miles;
73676.750182;Distance travelled (total);0;miles;
73677.450182;Distance travelled (total);0;miles;
73678.148182;Distance travelled (total);0;miles;
73678.745182;Distance travelled (total);0;miles;
73679.323182;Distance travelled (total);0;miles;
73679.940182;Distance travelled (total);0;miles;
73680.648182;Distance travelled (total);0;miles;
73681.333182;Distance travelled (total);0;miles;
73681.890182;Distance travelled (total);0;miles;
73682.589182;Distance travelled (total);0;miles;
73683.146182;Distance travelled (total);0;miles;
73683.753182;Distance travelled (total);0;miles;
73684.553182;Distance travelled (total);0;miles;
73685.190182;Distance travelled (total);0;miles;
73685.787182;Distance travelled (total);0;miles;
73686.363182;Distance travelled (total);0;miles;
73686.960182;Distance travelled (total);0;miles;
73687.587182;Distance travelled (total);0;miles;
73688.214182;Distance travelled (total);0;miles;
73688.912182;Distance travelled (total);0;miles;
73689.499182;Distance travelled (total);0;miles;
73690.035182;Distance travelled (total);0;miles;
73690.652182;Distance travelled (total);0;miles;
73691.382182;Distance travelled (total);0;miles;
73692.356182;Distance travelled (total);0;miles;
73693.390182;Distance travelled (total);0;miles;
73694.230182;Distance travelled (total);0;miles;
73695.091182;Distance travelled (total);0;miles;
73696.344182;Distance travelled (total);0;miles;
73697.644182;Distance travelled (total);0;miles;
73699.044182;Distance travelled (total);0;miles;
73700.342182;Distance travelled (total);0;miles;
73701.806182;Distance travelled (total);0;miles;
73702.992182;Distance travelled (total);0;miles;
73703.626182;Distance travelled (total);0;miles;
73704.281182;Distance travelled (total);0;miles;
73705.000182;Distance travelled (total);0;miles;
73705.607182;Distance travelled (total);0;miles;
73706.255182;Distance travelled (total);0;miles;
73706.864182;Distance travelled (total);0;miles;
73707.441182;Distance travelled (total);0;miles;
73708.128182;Distance travelled (total);0;miles;
73708.675182;Distance travelled (total);0;miles;
73709.332182;Distance travelled (total);0;miles;
73709.969182;Distance travelled (total);0;miles;
73710.485182;Distance travelled (total);0;miles;
73711.144182;Distance travelled (total);0;miles;
73711.854182;Distance travelled (total);0;miles;
73712.512182;Distance travelled (total);0;miles;
73713.250182;Distance travelled (total);0;miles;
73713.848182;Distance travelled (total);0;miles;
73714.567182;Distance travelled (total);0;miles;
73715.327182;Distance travelled (total);0;miles;
73715.949182;Distance travelled (total);0;miles;
73716.853182;Distance travelled (total);0;miles;
73718.151182;Distance travelled (total);0;miles;
73719.511182;Distance travelled (total);0;miles;
73720.890182;Distance travelled (total);0;miles;
73722.540182;Distance travelled (total);0;miles;
73724.078182;Distance travelled (total);0;miles;
73725.402182;Distance travelled (total);0;miles;
73726.754182;Distance travelled (total);0;miles;
73728.242182;Distance travelled (total);0;miles;
73729.608182;Distance travelled (total);0;miles;
73731.086182;Distance travelled (total);0;miles;
73732.407182;Distance travelled (total);0;miles;
73733.189182;Distance travelled (total);0;miles;
73733.839182;Distance travelled (total);0;miles;
73734.587182;Distance travelled (total);0;miles;
73735.143182;Distance travelled (total);0;miles;
73735.852182;Distance travelled (total);0;miles;
73737.343182;Distance travelled (total);0;miles;
73738.655182;Distance travelled (total);0;miles;
73740.254182;Distance travelled (total);0;miles;
73741.688182;Distance travelled (total);0;miles;
73743.145182;Distance travelled (total);0;miles;
73744.422182;Distance travelled (total);0;miles;
73745.032182;Distance travelled (total);0;miles;
73745.750182;Distance travelled (total);0;miles;
73746.298182;Distance travelled (total);0;miles;
73746.966182;Distance travelled (total);0;miles;
73747.573182;Distance travelled (total);0;miles;
73748.151182;Distance travelled (total);0;miles;
73748.830182;Distance travelled (total);0;miles;
73749.478182;Distance travelled (total);0;miles;
73750.127182;Distance travelled (total);0;miles;
73750.756182;Distance travelled (total);0;miles;
73751.444182;Distance travelled (total);0;miles;
73752.123182;Distance travelled (total);0;miles;
73752.764182;Distance travelled (total);0;miles;
73753.571182;Distance travelled (total);0;miles;
73754.882182;Distance travelled (total);0;miles;
73756.118182;Distance travelled (total);0;miles;
73757.587182;Distance travelled (total);0;miles;
73759.264182;Distance travelled (total);0;miles;
73760.957182;Distance travelled (total);0;miles;
73762.179182;Distance travelled (total);0;miles;
73763.782182;Distance travelled (total);0;miles;
73765.512182;Distance travelled (total);0;miles;
73766.185182;Distance travelled (total);0;miles;
73766.857182;Distance travelled (total);0;miles;
73767.475182;Distance travelled (total);0;miles;
73768.083182;Distance travelled (total);0;miles;
73768.681182;Distance travelled (total);0;miles;
