SECONDS;PID;VALUE;UNITS;
73664.648182;Engine RPM x1000;0.7;rpm;
73665.823182;Engine RPM x1000;0.7;rpm;
73666.713182;Engine RPM x1000;0.7;rpm;
73667.330182;Engine RPM x1000;0.7;rpm;
73667.897182;Engine RPM x1000;0.7;rpm;
73668.525182;Engine RPM x1000;0.7;rpm;
73669.294182;Engine RPM x1000;0.7;rpm;
73669.771182;Engine RPM x1000;0.7;rpm;
73670.540182;Engine RPM x1000;0.7;rpm;
73671.097182;Engine RPM x1000;0.7;rpm;
73672.198182;Engine RPM x1000;0.7;rpm;
73673.228182;Engine RPM x1000;0.7;rpm;
73674.386182;Engine RPM x1000;0.7;rpm;
73675.004182;Engine RPM x1000;0.7;rpm;
73676.092182;Engine RPM x1000;0.7;rpm;
73676.670182;Engine RPM x1000;0.7;rpm;
73677.430182;Engine RPM x1000;0.7;rpm;
73678.127182;Engine RPM x1000;0.7;rpm;
73678.695182;Engine RPM x1000;0.7;rpm;
73679.273182;Engine RPM x1000;0.7;rpm;
73679.920182;Engine RPM x1000;0.7;rpm;
73680.598182;Engine RPM x1000;0.7;rpm;
73681.293182;Engine RPM x1000;0.7;rpm;
73681.850182;Engine RPM x1000;0.7;rpm;
73682.548182;Engine RPM x1000;0.7;rpm;
73683.126182;Engine RPM x1000;0.7;rpm;
73683.733182;Engine RPM x1000;0.7;rpm;
73684.472182;Engine RPM x1000;0.7;rpm;
73685.170182;Engine RPM x1000;0.7;rpm;
73685.767182;Engine RPM x1000;0.7;rpm;
73686.343182;Engine RPM x1000;0.7;rpm;
73686.940182;Engine RPM x1000;0.7;rpm;
73687.566182;Engine RPM x1000;0.7;rpm;
73688.164182;Engine RPM x1000;0.7;rpm;
73688.861182;Engine RPM x1000;0.7;rpm;
73689.458182;Engine RPM x1000;0.7;rpm;
73689.995182;Engine RPM x1000;0.7;rpm;
73690.612182;Engine RPM x1000;0.7;rpm;
73691.341182;Engine RPM x1000;0.7;rpm;
73692.286182;Engine RPM x1000;0.7;rpm;
73693.369182;Engine RPM x1000;0.7;rpm;
73694.205182;Engine RPM x1000;0.7;rpm;
73695.071182;Engine RPM x1000;0.7;rpm;
73696.264182;Engine RPM x1000;0.7;rpm;
73697.545182;Engine RPM x1000;0.7;rpm;
73698.971182;Engine RPM x1000;0.7;rpm;
73700.240182;Engine RPM x1000;0.7;rpm;
73701.692182;Engine RPM x1000;0.7;rpm;
73702.868182;Engine RPM x1000;0.7;rpm;
73703.545182;Engine RPM x1000;0.7;rpm;
73704.261182;Engine RPM x1000;0.7;rpm;
73704.979182;Engine RPM x1000;0.7;rpm;
73705.566182;Engine RPM x1000;0.7;rpm;
73706.205182;Engine RPM x1000;0.7;rpm;
73706.844182;Engine RPM x1000;0.7;rpm;
73707.401182;Engine RPM x1000;0.7;rpm;
73708.078182;Engine RPM x1000;0.7;rpm;
73708.654182;Engine RPM x1000;0.7;rpm;
73709.281182;Engine RPM x1000;0.7;rpm;
73709.948182;Engine RPM x1000;0.7;rpm;
73710.445182;Engine RPM x1000;0.7;rpm;
73711.053182;Engine RPM x1000;0.7;rpm;
73711.834182;Engine RPM x1000;0.7;rpm;
73712.471182;Engine RPM x1000;0.7;rpm;
73713.180182;Engine RPM x1000;0.7;rpm;
73713.827182;Engine RPM x1000;0.7;rpm;
73714.527182;Engine RPM x1000;0.7;rpm;
73715.256182;Engine RPM x1000;0.7;rpm;
73715.928182;Engine RPM x1000;0.7;rpm;
73716.746182;Engine RPM x1000;0.7;rpm;
73718.044182;Engine RPM x1000;0.7;rpm;
73719.402182;Engine RPM x1000;0.7;rpm;
73720.796182;Engine RPM x1000;0.7;rpm;
73722.451182;Engine RPM x1000;0.7;rpm;
73723.970182;Engine RPM x1000;0.7;rpm;
73725.292182;Engine RPM x1000;0.7;rpm;
73726.644182;Engine RPM x1000;0.7;rpm;
73728.148182;Engine RPM x1000;0.7;rpm;
73729.497182;Engine RPM x1000;0.7;rpm;
73731.068182;Engine RPM x1000;0.7;rpm;
73732.323182;Engine RPM x1000;0.7;rpm;
