SECONDS;PID;VALUE;UNITS;
73665.156182;Fuel/Air commanded equivalence ratio;14.612367;;
73666.308182;Fuel/Air commanded equivalence ratio;14.61147396;;
73666.936182;Fuel/Air commanded equivalence ratio;14.60968788;;
73667.533182;Fuel/Air commanded equivalence ratio;14.61102744;;
73668.191182;Fuel/Air commanded equivalence ratio;14.61102744;;
73668.789182;Fuel/Air commanded equivalence ratio;14.61147396;;
73669.487182;Fuel/Air commanded equivalence ratio;14.61058092;;
73670.095182;Fuel/Air commanded equivalence ratio;14.6101344;;
73670.793182;Fuel/Air commanded equivalence ratio;14.60924136;;
73671.441182;Fuel/Air commanded equivalence ratio;14.60924136;;
73672.833182;Fuel/Air commanded equivalence ratio;14.60924136;;
73673.411182;Fuel/Air commanded equivalence ratio;14.60924136;;
73674.680182;Fuel/Air commanded equivalence ratio;14.60924136;;
73675.367182;Fuel/Air commanded equivalence ratio;14.60924136;;
73676.366182;Fuel/Air commanded equivalence ratio;14.60924136;;
73677.015182;Fuel/Air commanded equivalence ratio;14.60924136;;
73677.733182;Fuel/Air commanded equivalence ratio;14.60924136;;
73678.371182;Fuel/Air commanded equivalence ratio;14.60924136;;
73678.988182;Fuel/Air commanded equivalence ratio;14.60924136;;
73679.616182;Fuel/Air commanded equivalence ratio;14.60924136;;
73680.183182;Fuel/Air commanded equivalence ratio;14.6056692;;
73680.882182;Fuel/Air commanded equivalence ratio;14.60299008;;
73681.496182;Fuel/Air commanded equivalence ratio;14.60924136;;
73682.184182;Fuel/Air commanded equivalence ratio;14.61281352;;
73682.791182;Fuel/Air commanded equivalence ratio;14.60924136;;
73683.369182;Fuel/Air commanded equivalence ratio;14.61415308;;
73684.047182;Fuel/Air commanded equivalence ratio;14.61058092;;
73684.775182;Fuel/Air commanded equivalence ratio;14.61192048;;
73685.403182;Fuel/Air commanded equivalence ratio;14.60968788;;
73685.989182;Fuel/Air commanded equivalence ratio;14.6101344;;
73686.606182;Fuel/Air commanded equivalence ratio;14.60968788;;
73687.183182;Fuel/Air commanded equivalence ratio;14.60924136;;
73687.779182;Fuel/Air commanded equivalence ratio;14.60834832;;
73688.467182;Fuel/Air commanded equivalence ratio;14.60834832;;
73689.195182;Fuel/Air commanded equivalence ratio;14.60924136;;
73689.722182;Fuel/Air commanded equivalence ratio;14.60924136;;
73690.278182;Fuel/Air commanded equivalence ratio;14.60924136;;
73690.945182;Fuel/Air commanded equivalence ratio;14.60924136;;
73691.699182;Fuel/Air commanded equivalence ratio;14.60924136;;
73692.671182;Fuel/Air commanded equivalence ratio;14.60924136;;
73693.846182;Fuel/Air commanded equivalence ratio;14.60924136;;
73694.513182;Fuel/Air commanded equivalence ratio;14.60924136;;
73695.517182;Fuel/Air commanded equivalence ratio;14.60924136;;
73696.768182;Fuel/Air commanded equivalence ratio;14.60924136;;
73698.339182;Fuel/Air commanded equivalence ratio;14.60924136;;
73699.561182;Fuel/Air commanded equivalence ratio;14.60432964;;
73701.026182;Fuel/Air commanded equivalence ratio;14.61326004;;
73702.265182;Fuel/Air commanded equivalence ratio;14.61058092;;
73703.241182;Fuel/Air commanded equivalence ratio;14.60879484;;
73703.866182;Fuel/Air commanded equivalence ratio;14.60879484;;
73704.614182;Fuel/Air commanded equivalence ratio;14.60879484;;
73705.202182;Fuel/Air commanded equivalence ratio;14.60924136;;
73705.840182;Fuel/Air commanded equivalence ratio;14.6079018;;
73706.519182;Fuel/Air commanded equivalence ratio;14.60745528;;
73707.147182;Fuel/Air commanded equivalence ratio;14.60924136;;
73707.684182;Fuel/Air commanded equivalence ratio;14.60924136;;
73708.321182;Fuel/Air commanded equivalence ratio;14.60924136;;
73708.968182;Fuel/Air commanded equivalence ratio;14.60924136;;
73709.514182;Fuel/Air commanded equivalence ratio;14.60924136;;
73710.171182;Fuel/Air commanded equivalence ratio;14.60924136;;
73710.779182;Fuel/Air commanded equivalence ratio;14.60924136;;
73711.469182;Fuel/Air commanded equivalence ratio;14.60924136;;
73712.117182;Fuel/Air commanded equivalence ratio;14.60924136;;
73712.775182;Fuel/Air commanded equivalence ratio;14.60924136;;
73713.453182;Fuel/Air commanded equivalence ratio;14.60924136;;
73714.152182;Fuel/Air commanded equivalence ratio;14.60924136;;
73714.841182;Fuel/Air commanded equivalence ratio;14.60924136;;
73715.531182;Fuel/Air commanded equivalence ratio;14.60924136;;
73716.214182;Fuel/Air commanded equivalence ratio;14.60924136;;
73717.382182;Fuel/Air commanded equivalence ratio;14.60432964;;
73718.744182;Fuel/Air commanded equivalence ratio;14.61638568;;
73720.048182;Fuel/Air commanded equivalence ratio;14.61058092;;
73721.577182;Fuel/Air commanded equivalence ratio;14.6101344;;
73723.188182;Fuel/Air commanded equivalence ratio;14.6079018;;
73724.642182;Fuel/Air commanded equivalence ratio;14.6056692;;
73725.964182;Fuel/Air commanded equivalence ratio;14.60924136;;
73727.342182;Fuel/Air commanded equivalence ratio;14.60924136;;
73728.756182;Fuel/Air commanded equivalence ratio;14.60924136;;
73730.265182;Fuel/Air commanded equivalence ratio;14.60924136;;
73731.468182;Fuel/Air commanded equivalence ratio;14.60924136;;
73732.770182;Fuel/Air commanded equivalence ratio;14.60924136;;
73733.454182;Fuel/Air commanded equivalence ratio;14.60924136;;
73734.173182;Fuel/Air commanded equivalence ratio;14.60924136;;
73734.750182;Fuel/Air commanded equivalence ratio;14.60924136;;
73735.367182;Fuel/Air commanded equivalence ratio;14.60031096;;
73736.365182;Fuel/Air commanded equivalence ratio;14.60968788;;
73737.854182;Fuel/Air commanded equivalence ratio;14.60834832;;
73739.351182;Fuel/Air commanded equivalence ratio;14.60834832;;
73740.853182;Fuel/Air commanded equivalence ratio;14.60522268;;
73742.281182;Fuel/Air commanded equivalence ratio;14.60477616;;
73743.756182;Fuel/Air commanded equivalence ratio;14.60924136;;
73744.624182;Fuel/Air commanded equivalence ratio;14.60924136;;
73745.325182;Fuel/Air commanded equivalence ratio;14.60924136;;
73745.963182;Fuel/Air commanded equivalence ratio;14.60924136;;
73746.561182;Fuel/Air commanded equivalence ratio;14.60924136;;
73747.229182;Fuel/Air commanded equivalence ratio;14.60924136;;
73747.786182;Fuel/Air commanded equivalence ratio;14.60924136;;
73748.465182;Fuel/Air commanded equivalence ratio;14.60924136;;
73749.083182;Fuel/Air commanded equivalence ratio;14.60924136;;
73749.762182;Fuel/Air commanded equivalence ratio;14.60924136;;
73750.290182;Fuel/Air commanded equivalence ratio;14.60924136;;
73751.090182;Fuel/Air commanded equivalence ratio;14.60924136;;
73751.698182;Fuel/Air commanded equivalence ratio;14.60924136;;
73752.408182;Fuel/Air commanded equivalence ratio;14.60924136;;
73753.139182;Fuel/Air commanded equivalence ratio;14.60924136;;
73754.023182;Fuel/Air commanded equivalence ratio;14.59852488;;
73755.467182;Fuel/Air commanded equivalence ratio;14.61102744;;
73756.640182;Fuel/Air commanded equivalence ratio;14.6079018;;
73758.328182;Fuel/Air commanded equivalence ratio;14.60700876;;
73759.951182;Fuel/Air commanded equivalence ratio;14.6034366;;
73761.491182;Fuel/Air commanded equivalence ratio;14.60924136;;
73762.802182;Fuel/Air commanded equivalence ratio;14.60924136;;
73764.456182;Fuel/Air commanded equivalence ratio;14.60924136;;
73765.860182;Fuel/Air commanded equivalence ratio;14.60924136;;
73766.543182;Fuel/Air commanded equivalence ratio;14.60924136;;
73767.130182;Fuel/Air commanded equivalence ratio;14.60924136;;
73767.709182;Fuel/Air commanded equivalence ratio;14.60924136;;
