SECONDS;PID;VALUE;UNITS;
73665.388182;Fuel Rail Pressure;4000;kPa;
73666.490182;Fuel Rail Pressure;3980;kPa;
73667.118182;Fuel Rail Pressure;3970;kPa;
73667.644182;Fuel Rail Pressure;4030;kPa;
73668.292182;Fuel Rail Pressure;4010;kPa;
73668.890182;Fuel Rail Pressure;3950;kPa;
73669.588182;Fuel Rail Pressure;4040;kPa;
73670.317182;Fuel Rail Pressure;3930;kPa;
73670.884182;Fuel Rail Pressure;3970;kPa;
73671.774182;Fuel Rail Pressure;4020;kPa;
73673.036182;Fuel Rail Pressure;3980;kPa;
73673.563182;Fuel Rail Pressure;4000;kPa;
73674.751182;Fuel Rail Pressure;3970;kPa;
73675.438182;Fuel Rail Pressure;4000;kPa;
73676.477182;Fuel Rail Pressure;4080;kPa;
73677.207182;Fuel Rail Pressure;4020;kPa;
73677.904182;Fuel Rail Pressure;4040;kPa;
73678.452182;Fuel Rail Pressure;4000;kPa;
73679.060182;Fuel Rail Pressure;3960;kPa;
73679.708182;Fuel Rail Pressure;4030;kPa;
73680.355182;Fuel Rail Pressure;4050;kPa;
73681.054182;Fuel Rail Pressure;4040;kPa;
73681.617182;Fuel Rail Pressure;3920;kPa;
73682.315182;Fuel Rail Pressure;4100;kPa;
73682.913182;Fuel Rail Pressure;3960;kPa;
73683.520182;Fuel Rail Pressure;4100;kPa;
73684.189182;Fuel Rail Pressure;4000;kPa;
73684.947182;Fuel Rail Pressure;3940;kPa;
73685.585182;Fuel Rail Pressure;3970;kPa;
73686.111182;Fuel Rail Pressure;3980;kPa;
73686.737182;Fuel Rail Pressure;4010;kPa;
73687.354182;Fuel Rail Pressure;4010;kPa;
73687.941182;Fuel Rail Pressure;4060;kPa;
73688.619182;Fuel Rail Pressure;4030;kPa;
73689.276182;Fuel Rail Pressure;4090;kPa;
73689.823182;Fuel Rail Pressure;3930;kPa;
73690.419182;Fuel Rail Pressure;4040;kPa;
73691.086182;Fuel Rail Pressure;4020;kPa;
73691.871182;Fuel Rail Pressure;4020;kPa;
73692.894182;Fuel Rail Pressure;4080;kPa;
73694.019182;Fuel Rail Pressure;4000;kPa;
73694.736182;Fuel Rail Pressure;3990;kPa;
73695.823182;Fuel Rail Pressure;3960;kPa;
73697.022182;Fuel Rail Pressure;3990;kPa;
73698.589182;Fuel Rail Pressure;4110;kPa;
73699.834182;Fuel Rail Pressure;3920;kPa;
73701.250182;Fuel Rail Pressure;3960;kPa;
73702.481182;Fuel Rail Pressure;3980;kPa;
73703.343182;Fuel Rail Pressure;3890;kPa;
73703.967182;Fuel Rail Pressure;3930;kPa;
73704.776182;Fuel Rail Pressure;3950;kPa;
73705.273182;Fuel Rail Pressure;3930;kPa;
73705.962182;Fuel Rail Pressure;3960;kPa;
73706.660182;Fuel Rail Pressure;3890;kPa;
73707.238182;Fuel Rail Pressure;3990;kPa;
73707.775182;Fuel Rail Pressure;4070;kPa;
73708.462182;Fuel Rail Pressure;3980;kPa;
73709.099182;Fuel Rail Pressure;4050;kPa;
73709.625182;Fuel Rail Pressure;3990;kPa;
73710.262182;Fuel Rail Pressure;4000;kPa;
73710.880182;Fuel Rail Pressure;4020;kPa;
73711.560182;Fuel Rail Pressure;4060;kPa;
73712.238182;Fuel Rail Pressure;4030;kPa;
73712.886182;Fuel Rail Pressure;3980;kPa;
73713.554182;Fuel Rail Pressure;3990;kPa;
73714.243182;Fuel Rail Pressure;3990;kPa;
73714.952182;Fuel Rail Pressure;4030;kPa;
73715.673182;Fuel Rail Pressure;3990;kPa;
73716.317182;Fuel Rail Pressure;4030;kPa;
73717.614182;Fuel Rail Pressure;3940;kPa;
