SECONDS;PID;VALUE;UNITS;
73665.479182;Fuel System B Use Percentage Bank 1;0;%;
73666.550182;Fuel System B Use Percentage Bank 1;0;%;
73667.188182;Fuel System B Use Percentage Bank 1;0;%;
73667.695182;Fuel System B Use Percentage Bank 1;0;%;
73668.323182;Fuel System B Use Percentage Bank 1;0;%;
73668.941182;Fuel System B Use Percentage Bank 1;0;%;
73669.609182;Fuel System B Use Percentage Bank 1;0;%;
73670.347182;Fuel System B Use Percentage Bank 1;0;%;
73670.935182;Fuel System B Use Percentage Bank 1;0;%;
73671.814182;Fuel System B Use Percentage Bank 1;0;%;
73673.056182;Fuel System B Use Percentage Bank 1;0;%;
73673.583182;Fuel System B Use Percentage Bank 1;0;%;
73674.812182;Fuel System B Use Percentage Bank 1;0;%;
73675.469182;Fuel System B Use Percentage Bank 1;0;%;
73676.528182;Fuel System B Use Percentage Bank 1;0;%;
73677.227182;Fuel System B Use Percentage Bank 1;0;%;
73677.965182;Fuel System B Use Percentage Bank 1;0;%;
73678.502182;Fuel System B Use Percentage Bank 1;0;%;
73679.080182;Fuel System B Use Percentage Bank 1;0;%;
73679.758182;Fuel System B Use Percentage Bank 1;0;%;
73680.405182;Fuel System B Use Percentage Bank 1;0;%;
73681.084182;Fuel System B Use Percentage Bank 1;0;%;
73681.688182;Fuel System B Use Percentage Bank 1;0;%;
73682.366182;Fuel System B Use Percentage Bank 1;0;%;
73682.953182;Fuel System B Use Percentage Bank 1;0;%;
73683.551182;Fuel System B Use Percentage Bank 1;0;%;
73684.279182;Fuel System B Use Percentage Bank 1;0;%;
73684.998182;Fuel System B Use Percentage Bank 1;0;%;
73685.605182;Fuel System B Use Percentage Bank 1;0;%;
73686.141182;Fuel System B Use Percentage Bank 1;0;%;
73686.758182;Fuel System B Use Percentage Bank 1;0;%;
73687.385182;Fuel System B Use Percentage Bank 1;0;%;
73687.982182;Fuel System B Use Percentage Bank 1;0;%;
73688.669182;Fuel System B Use Percentage Bank 1;0;%;
73689.296182;Fuel System B Use Percentage Bank 1;0;%;
73689.853182;Fuel System B Use Percentage Bank 1;0;%;
73690.450182;Fuel System B Use Percentage Bank 1;0;%;
