SECONDS;PID;VALUE;UNITS;
73664.831182;Intake air temperature;129.2;℉;
73665.995182;Intake air temperature;129.2;℉;
73666.794182;Intake air temperature;129.2;℉;
73667.391182;Intake air temperature;129.2;℉;
73667.959182;Intake air temperature;129.2;℉;
73668.587182;Intake air temperature;129.2;℉;
73669.385182;Intake air temperature;129.2;℉;
73669.922182;Intake air temperature;129.2;℉;
73670.621182;Intake air temperature;129.2;℉;
73671.198182;Intake air temperature;129.2;℉;
73672.379182;Intake air temperature;129.2;℉;
73673.289182;Intake air temperature;129.2;℉;
73674.478182;Intake air temperature;129.2;℉;
73675.145182;Intake air temperature;129.2;℉;
73676.224182;Intake air temperature;129.2;℉;
73676.791182;Intake air temperature;129.2;℉;
73677.490182;Intake air temperature;129.2;℉;
73678.249182;Intake air temperature;129.2;℉;
73678.846182;Intake air temperature;129.2;℉;
73679.364182;Intake air temperature;129.2;℉;
73680.051182;Intake air temperature;129.2;℉;
73680.689182;Intake air temperature;129.2;℉;
73681.384182;Intake air temperature;129.2;℉;
73681.981182;Intake air temperature;129.2;℉;
73682.649182;Intake air temperature;129.2;℉;
73683.207182;Intake air temperature;129.2;℉;
73683.814182;Intake air temperature;129.2;℉;
73684.603182;Intake air temperature;129.2;℉;
73685.271182;Intake air temperature;129.2;℉;
73685.848182;Intake air temperature;129.2;℉;
73686.444182;Intake air temperature;129.2;℉;
73687.021182;Intake air temperature;129.2;℉;
73687.648182;Intake air temperature;129.2;℉;
73688.315182;Intake air temperature;129.2;℉;
73688.952182;Intake air temperature;129.2;℉;
73689.580182;Intake air temperature;129.2;℉;
73690.076182;Intake air temperature;129.2;℉;
73690.783182;Intake air temperature;129.2;℉;
73691.494182;Intake air temperature;129.2;℉;
73692.428182;Intake air temperature;129.2;℉;
73693.512182;Intake air temperature;129.2;℉;
73694.309182;Intake air temperature;129.2;℉;
73695.159182;Intake air temperature;129.2;℉;
73696.432182;Intake air temperature;131;℉;
73697.753182;Intake air temperature;131;℉;
73699.207182;Intake air temperature;131;℉;
73700.535182;Intake air temperature;131;℉;
73701.928182;Intake air temperature;129.2;℉;
73703.088182;Intake air temperature;129.2;℉;
73703.667182;Intake air temperature;129.2;℉;
73704.342182;Intake air temperature;129.2;℉;
73705.050182;Intake air temperature;129.2;℉;
73705.678182;Intake air temperature;129.2;℉;
73706.326182;Intake air temperature;129.2;℉;
73706.945182;Intake air temperature;129.2;℉;
73707.482182;Intake air temperature;129.2;℉;
73708.169182;Intake air temperature;129.2;℉;
73708.776182;Intake air temperature;129.2;℉;
73709.372182;Intake air temperature;129.2;℉;
73710.009182;Intake air temperature;129.2;℉;
73710.627182;Intake air temperature;129.2;℉;
73711.235182;Intake air temperature;129.2;℉;
73711.895182;Intake air temperature;129.2;℉;
73712.573182;Intake air temperature;129.2;℉;
73713.341182;Intake air temperature;131;℉;
73713.908182;Intake air temperature;131;℉;
73714.608182;Intake air temperature;131;℉;
73715.388182;Intake air temperature;131;℉;
73716.022182;Intake air temperature;131;℉;
73716.961182;Intake air temperature;131;℉;
73718.356182;Intake air temperature;131;℉;
73719.657182;Intake air temperature;131;℉;
73721.124182;Intake air temperature;129.2;℉;
73722.793182;Intake air temperature;129.2;℉;
73724.292182;Intake air temperature;129.2;℉;
73725.545182;Intake air temperature;129.2;℉;
73726.925182;Intake air temperature;129.2;℉;
73728.360182;Intake air temperature;129.2;℉;
73729.851182;Intake air temperature;131;℉;
73731.153182;Intake air temperature;131;℉;
73732.577182;Intake air temperature;131;℉;
73733.251182;Intake air temperature;131;℉;
73733.990182;Intake air temperature;131;℉;
73734.639182;Intake air temperature;131;℉;
73735.213182;Intake air temperature;131;℉;
73735.923182;Intake air temperature;131;℉;
73737.465182;Intake air temperature;131;℉;
73738.812182;Intake air temperature;131;℉;
73740.450182;Intake air temperature;131;℉;
73741.853182;Intake air temperature;129.2;℉;
73743.261182;Intake air temperature;129.2;℉;
73744.483182;Intake air temperature;129.2;℉;
73745.122182;Intake air temperature;131;℉;
73745.790182;Intake air temperature;131;℉;
73746.369182;Intake air temperature;131;℉;
73747.047182;Intake air temperature;131;℉;
