SECONDS;PID;VALUE;UNITS;
73664.597182;Intake manifold absolute pressure;33;kPa;
73665.692182;Intake manifold absolute pressure;34;kPa;
73666.692182;Intake manifold absolute pressure;35;kPa;
73667.290182;Intake manifold absolute pressure;33;kPa;
73667.877182;Intake manifold absolute pressure;35;kPa;
73668.475182;Intake manifold absolute pressure;35;kPa;
73669.244182;Intake manifold absolute pressure;34;kPa;
73669.750182;Intake manifold absolute pressure;34;kPa;
73670.519182;Intake manifold absolute pressure;34;kPa;
73671.046182;Intake manifold absolute pressure;32;kPa;
73672.177182;Intake manifold absolute pressure;30;kPa;
73673.188182;Intake manifold absolute pressure;31;kPa;
73674.366182;Intake manifold absolute pressure;30;kPa;
73674.984182;Intake manifold absolute pressure;30;kPa;
73676.052182;Intake manifold absolute pressure;30;kPa;
73676.649182;Intake manifold absolute pressure;30;kPa;
73677.409182;Intake manifold absolute pressure;30;kPa;
73678.096182;Intake manifold absolute pressure;30;kPa;
73678.644182;Intake manifold absolute pressure;30;kPa;
73679.252182;Intake manifold absolute pressure;30;kPa;
73679.859182;Intake manifold absolute pressure;29;kPa;
73680.557182;Intake manifold absolute pressure;31;kPa;
73681.246182;Intake manifold absolute pressure;35;kPa;
73681.779182;Intake manifold absolute pressure;32;kPa;
73682.528182;Intake manifold absolute pressure;35;kPa;
73683.105182;Intake manifold absolute pressure;33;kPa;
73683.713182;Intake manifold absolute pressure;35;kPa;
73684.451182;Intake manifold absolute pressure;34;kPa;
73685.149182;Intake manifold absolute pressure;35;kPa;
73685.746182;Intake manifold absolute pressure;34;kPa;
73686.262182;Intake manifold absolute pressure;35;kPa;
73686.899182;Intake manifold absolute pressure;34;kPa;
73687.546182;Intake manifold absolute pressure;35;kPa;
73688.143182;Intake manifold absolute pressure;34;kPa;
73688.811182;Intake manifold absolute pressure;35;kPa;
73689.428182;Intake manifold absolute pressure;31;kPa;
73689.975182;Intake manifold absolute pressure;30;kPa;
73690.591182;Intake manifold absolute pressure;31;kPa;
73691.300182;Intake manifold absolute pressure;30;kPa;
73692.225182;Intake manifold absolute pressure;29;kPa;
73693.268182;Intake manifold absolute pressure;29;kPa;
73694.185182;Intake manifold absolute pressure;30;kPa;
73695.051182;Intake manifold absolute pressure;30;kPa;
73696.210182;Intake manifold absolute pressure;29;kPa;
73697.470182;Intake manifold absolute pressure;30;kPa;
73698.933182;Intake manifold absolute pressure;32;kPa;
73700.135182;Intake manifold absolute pressure;31;kPa;
73701.584182;Intake manifold absolute pressure;33;kPa;
73702.796182;Intake manifold absolute pressure;33;kPa;
73703.515182;Intake manifold absolute pressure;34;kPa;
73704.240182;Intake manifold absolute pressure;36;kPa;
73704.959182;Intake manifold absolute pressure;34;kPa;
73705.516182;Intake manifold absolute pressure;34;kPa;
73706.185182;Intake manifold absolute pressure;34;kPa;
73706.813182;Intake manifold absolute pressure;34;kPa;
73707.380182;Intake manifold absolute pressure;32;kPa;
73708.058182;Intake manifold absolute pressure;30;kPa;
73708.634182;Intake manifold absolute pressure;30;kPa;
73709.261182;Intake manifold absolute pressure;29;kPa;
73709.928182;Intake manifold absolute pressure;30;kPa;
73710.424182;Intake manifold absolute pressure;30;kPa;
73711.032182;Intake manifold absolute pressure;30;kPa;
73711.763182;Intake manifold absolute pressure;30;kPa;
73712.451182;Intake manifold absolute pressure;30;kPa;
73713.139182;Intake manifold absolute pressure;30;kPa;
73713.767182;Intake manifold absolute pressure;30;kPa;
73714.486182;Intake manifold absolute pressure;30;kPa;
73715.235182;Intake manifold absolute pressure;30;kPa;
73715.848182;Intake manifold absolute pressure;30;kPa;
73716.599182;Intake manifold absolute pressure;31;kPa;
73717.936182;Intake manifold absolute pressure;34;kPa;
73719.350182;Intake manifold absolute pressure;34;kPa;
73720.750182;Intake manifold absolute pressure;33;kPa;
73722.346182;Intake manifold absolute pressure;35;kPa;
73723.895182;Intake manifold absolute pressure;35;kPa;
73725.182182;Intake manifold absolute pressure;34;kPa;
73726.554182;Intake manifold absolute pressure;30;kPa;
73728.043182;Intake manifold absolute pressure;30;kPa;
73729.442182;Intake manifold absolute pressure;30;kPa;
73730.964182;Intake manifold absolute pressure;29;kPa;
73732.214182;Intake manifold absolute pressure;30;kPa;
73733.128182;Intake manifold absolute pressure;29;kPa;
73733.768182;Intake manifold absolute pressure;30;kPa;
73734.476182;Intake manifold absolute pressure;29;kPa;
73735.051182;Intake manifold absolute pressure;32;kPa;
73735.781182;Intake manifold absolute pressure;36;kPa;
73737.126182;Intake manifold absolute pressure;34;kPa;
73738.487182;Intake manifold absolute pressure;34;kPa;
73740.060182;Intake manifold absolute pressure;34;kPa;
73741.549182;Intake manifold absolute pressure;35;kPa;
73742.945182;Intake manifold absolute pressure;35;kPa;
73744.320182;Intake manifold absolute pressure;29;kPa;
73744.930182;Intake manifold absolute pressure;30;kPa;
73745.649182;Intake manifold absolute pressure;30;kPa;
73746.227182;Intake manifold absolute pressure;30;kPa;
73746.925182;Intake manifold absolute pressure;30;kPa;
73747.513182;Intake manifold absolute pressure;29;kPa;
73748.080182;Intake manifold absolute pressure;29;kPa;
73748.729182;Intake manifold absolute pressure;30;kPa;
73749.367182;Intake manifold absolute pressure;29;kPa;
73750.026182;Intake manifold absolute pressure;29;kPa;
73750.644182;Intake manifold absolute pressure;30;kPa;
73751.373182;Intake manifold absolute pressure;29;kPa;
73752.052182;Intake manifold absolute pressure;30;kPa;
73752.703182;Intake manifold absolute pressure;29;kPa;
73753.411182;Intake manifold absolute pressure;31;kPa;
73754.717182;Intake manifold absolute pressure;32;kPa;
73755.996182;Intake manifold absolute pressure;34;kPa;
