SECONDS;PID;VALUE;UNITS;
73664.536182;Long term fuel % trim - Bank 1;-5.46875;%;
73665.631182;Long term fuel % trim - Bank 1;-5.46875;%;
73666.672182;Long term fuel % trim - Bank 1;-5.46875;%;
73667.269182;Long term fuel % trim - Bank 1;-5.46875;%;
73667.856182;Long term fuel % trim - Bank 1;-5.46875;%;
73668.455182;Long term fuel % trim - Bank 1;-5.46875;%;
73669.163182;Long term fuel % trim - Bank 1;-5.46875;%;
73669.730182;Long term fuel % trim - Bank 1;-5.46875;%;
73670.449182;Long term fuel % trim - Bank 1;-5.46875;%;
73670.996182;Long term fuel % trim - Bank 1;-5.46875;%;
73672.087182;Long term fuel % trim - Bank 1;-5.46875;%;
73673.117182;Long term fuel % trim - Bank 1;-5.46875;%;
73674.325182;Long term fuel % trim - Bank 1;-5.46875;%;
73674.964182;Long term fuel % trim - Bank 1;-5.46875;%;
73675.580182;Long term fuel % trim - Bank 1;-5.46875;%;
73676.629182;Long term fuel % trim - Bank 1;-5.46875;%;
73677.379182;Long term fuel % trim - Bank 1;-5.46875;%;
73678.076182;Long term fuel % trim - Bank 1;-5.46875;%;
73678.624182;Long term fuel % trim - Bank 1;-5.46875;%;
73679.201182;Long term fuel % trim - Bank 1;-5.46875;%;
73679.819182;Long term fuel % trim - Bank 1;-5.46875;%;
73680.486182;Long term fuel % trim - Bank 1;-5.46875;%;
73681.195182;Long term fuel % trim - Bank 1;-5.46875;%;
73681.759182;Long term fuel % trim - Bank 1;-5.46875;%;
73682.508182;Long term fuel % trim - Bank 1;-5.46875;%;
73683.085182;Long term fuel % trim - Bank 1;-5.46875;%;
73683.612182;Long term fuel % trim - Bank 1;-5.46875;%;
73684.401182;Long term fuel % trim - Bank 1;-5.46875;%;
73685.089182;Long term fuel % trim - Bank 1;-5.46875;%;
73685.696182;Long term fuel % trim - Bank 1;-5.46875;%;
73686.222182;Long term fuel % trim - Bank 1;-5.46875;%;
73686.869182;Long term fuel % trim - Bank 1;-5.46875;%;
73687.496182;Long term fuel % trim - Bank 1;-5.46875;%;
73688.093182;Long term fuel % trim - Bank 1;-5.46875;%;
73688.791182;Long term fuel % trim - Bank 1;-5.46875;%;
73689.408182;Long term fuel % trim - Bank 1;-5.46875;%;
73689.944182;Long term fuel % trim - Bank 1;-5.46875;%;
73690.551182;Long term fuel % trim - Bank 1;-5.46875;%;
73691.260182;Long term fuel % trim - Bank 1;-5.46875;%;
73692.124182;Long term fuel % trim - Bank 1;-5.46875;%;
73693.248182;Long term fuel % trim - Bank 1;-5.46875;%;
73694.164182;Long term fuel % trim - Bank 1;-5.46875;%;
73695.021182;Long term fuel % trim - Bank 1;-5.46875;%;
73696.132182;Long term fuel % trim - Bank 1;-5.46875;%;
73697.420182;Long term fuel % trim - Bank 1;-5.46875;%;
73698.873182;Long term fuel % trim - Bank 1;-5.46875;%;
73700.093182;Long term fuel % trim - Bank 1;-5.46875;%;
73701.467182;Long term fuel % trim - Bank 1;-5.46875;%;
73702.721182;Long term fuel % trim - Bank 1;-5.46875;%;
73703.494182;Long term fuel % trim - Bank 1;-5.46875;%;
73704.139182;Long term fuel % trim - Bank 1;-5.46875;%;
73704.939182;Long term fuel % trim - Bank 1;-5.46875;%;
73705.476182;Long term fuel % trim - Bank 1;-5.46875;%;
73706.144182;Long term fuel % trim - Bank 1;-5.46875;%;
73706.773182;Long term fuel % trim - Bank 1;-5.46875;%;
73707.360182;Long term fuel % trim - Bank 1;-5.46875;%;
73708.017182;Long term fuel % trim - Bank 1;-5.46875;%;
73708.614182;Long term fuel % trim - Bank 1;-5.46875;%;
73709.200182;Long term fuel % trim - Bank 1;-5.46875;%;
73709.857182;Long term fuel % trim - Bank 1;-5.46875;%;
73710.404182;Long term fuel % trim - Bank 1;-5.46875;%;
73711.012182;Long term fuel % trim - Bank 1;-5.46875;%;
73711.743182;Long term fuel % trim - Bank 1;-5.46875;%;
73712.401182;Long term fuel % trim - Bank 1;-5.46875;%;
73713.099182;Long term fuel % trim - Bank 1;-5.46875;%;
73713.696182;Long term fuel % trim - Bank 1;-5.46875;%;
73714.466182;Long term fuel % trim - Bank 1;-5.46875;%;
73715.215182;Long term fuel % trim - Bank 1;-5.46875;%;
73715.827182;Long term fuel % trim - Bank 1;-5.46875;%;
73716.579182;Long term fuel % trim - Bank 1;-5.46875;%;
73717.913182;Long term fuel % trim - Bank 1;-5.46875;%;
73719.310182;Long term fuel % trim - Bank 1;-5.46875;%;
73720.652182;Long term fuel % trim - Bank 1;-5.46875;%;
73722.249182;Long term fuel % trim - Bank 1;-5.46875;%;
73723.784182;Long term fuel % trim - Bank 1;-5.46875;%;
73725.086182;Long term fuel % trim - Bank 1;-5.46875;%;
73726.521182;Long term fuel % trim - Bank 1;-5.46875;%;
73727.943182;Long term fuel % trim - Bank 1;-5.46875;%;
73729.369182;Long term fuel % trim - Bank 1;-5.46875;%;
73730.852182;Long term fuel % trim - Bank 1;-5.46875;%;
73732.104182;Long term fuel % trim - Bank 1;-5.46875;%;
73733.084182;Long term fuel % trim - Bank 1;-5.46875;%;
73733.747182;Long term fuel % trim - Bank 1;-5.46875;%;
73734.436182;Long term fuel % trim - Bank 1;-5.46875;%;
73735.030182;Long term fuel % trim - Bank 1;-5.46875;%;
73735.611182;Long term fuel % trim - Bank 1;-5.46875;%;
73737.017182;Long term fuel % trim - Bank 1;-5.46875;%;
73738.444182;Long term fuel % trim - Bank 1;-5.46875;%;
73740.001182;Long term fuel % trim - Bank 1;-5.46875;%;
73741.493182;Long term fuel % trim - Bank 1;-5.46875;%;
73742.854182;Long term fuel % trim - Bank 1;-5.46875;%;
73744.270182;Long term fuel % trim - Bank 1;-5.46875;%;
73744.910182;Long term fuel % trim - Bank 1;-5.46875;%;
73745.628182;Long term fuel % trim - Bank 1;-5.46875;%;
73746.176182;Long term fuel % trim - Bank 1;-5.46875;%;
73746.885182;Long term fuel % trim - Bank 1;-5.46875;%;
73747.472182;Long term fuel % trim - Bank 1;-5.46875;%;
73748.060182;Long term fuel % trim - Bank 1;-5.46875;%;
73748.708182;Long term fuel % trim - Bank 1;-5.46875;%;
73749.307182;Long term fuel % trim - Bank 1;-5.46875;%;
73750.005182;Long term fuel % trim - Bank 1;-5.46875;%;
73750.604182;Long term fuel % trim - Bank 1;-5.46875;%;
73751.323182;Long term fuel % trim - Bank 1;-5.46875;%;
73752.032182;Long term fuel % trim - Bank 1;-5.46875;%;
73752.682182;Long term fuel % trim - Bank 1;-5.46875;%;
73753.302182;Long term fuel % trim - Bank 1;-5.46875;%;
73754.641182;Long term fuel % trim - Bank 1;-5.46875;%;
73755.955182;Long term fuel % trim - Bank 1;-5.46875;%;
