SECONDS;PID;VALUE;UNITS;
73664.882182;MAF air flow rate;3.85;g/sec;
73666.045182;MAF air flow rate;3.74;g/sec;
73666.814182;MAF air flow rate;2.46;g/sec;
73667.411182;MAF air flow rate;3.6;g/sec;
73667.999182;MAF air flow rate;3.65;g/sec;
73668.627182;MAF air flow rate;3.91;g/sec;
73669.406182;MAF air flow rate;3.92;g/sec;
73669.942182;MAF air flow rate;2.65;g/sec;
73670.641182;MAF air flow rate;2.84;g/sec;
73671.238182;MAF air flow rate;3.02;g/sec;
73672.430182;MAF air flow rate;2.52;g/sec;
73673.310182;MAF air flow rate;2.15;g/sec;
73674.498182;MAF air flow rate;2.12;g/sec;
73675.165182;MAF air flow rate;3.08;g/sec;
73676.244182;MAF air flow rate;3.02;g/sec;
73676.832182;MAF air flow rate;2.28;g/sec;
73677.541182;MAF air flow rate;2.21;g/sec;
73678.269182;MAF air flow rate;2.92;g/sec;
73678.867182;MAF air flow rate;2.15;g/sec;
73679.404182;MAF air flow rate;2.87;g/sec;
73680.072182;MAF air flow rate;2.79;g/sec;
73680.750182;MAF air flow rate;3.94;g/sec;
73681.404182;MAF air flow rate;2.3;g/sec;
73682.001182;MAF air flow rate;3.91;g/sec;
73682.670182;MAF air flow rate;3.59;g/sec;
73683.227182;MAF air flow rate;3.67;g/sec;
73683.885182;MAF air flow rate;3.34;g/sec;
73684.624182;MAF air flow rate;3.53;g/sec;
73685.292182;MAF air flow rate;3.61;g/sec;
73685.868182;MAF air flow rate;2.76;g/sec;
73686.464182;MAF air flow rate;2.65;g/sec;
73687.071182;MAF air flow rate;3.63;g/sec;
73687.668182;MAF air flow rate;3.74;g/sec;
73688.335182;MAF air flow rate;3.02;g/sec;
73688.973182;MAF air flow rate;2.22;g/sec;
73689.600182;MAF air flow rate;2.89;g/sec;
73690.126182;MAF air flow rate;2.62;g/sec;
73690.804182;MAF air flow rate;2.41;g/sec;
73691.544182;MAF air flow rate;3.29;g/sec;
73692.529182;MAF air flow rate;3.39;g/sec;
