SECONDS;PID;VALUE;UNITS;
73665.015182;Oxygen sensor 1 Wide Range Equivalence ratio;14.0351484;;
73666.177182;Oxygen sensor 1 Wide Range Equivalence ratio;14.4852918;;
73666.885182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6780823;;
73667.492182;Oxygen sensor 1 Wide Range Equivalence ratio;14.4440436;;
73668.040182;Oxygen sensor 1 Wide Range Equivalence ratio;14.65700985;;
73668.718182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6987064;;
73669.447182;Oxygen sensor 1 Wide Range Equivalence ratio;14.95919775;;
73669.983182;Oxygen sensor 1 Wide Range Equivalence ratio;15.08204565;;
73670.682182;Oxygen sensor 1 Wide Range Equivalence ratio;15.07756215;;
73671.279182;Oxygen sensor 1 Wide Range Equivalence ratio;14.94933405;;
73672.672182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7184338;;
73673.370182;Oxygen sensor 1 Wide Range Equivalence ratio;14.83634985;;
73674.579182;Oxygen sensor 1 Wide Range Equivalence ratio;14.92512315;;
73675.276182;Oxygen sensor 1 Wide Range Equivalence ratio;14.94485055;;
73676.305182;Oxygen sensor 1 Wide Range Equivalence ratio;14.930055;;
73676.943182;Oxygen sensor 1 Wide Range Equivalence ratio;14.86594095;;
73677.612182;Oxygen sensor 1 Wide Range Equivalence ratio;14.84621355;;
73678.310182;Oxygen sensor 1 Wide Range Equivalence ratio;14.80675875;;
73678.907182;Oxygen sensor 1 Wide Range Equivalence ratio;14.77268415;;
73679.556182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7381612;;
73680.112182;Oxygen sensor 1 Wide Range Equivalence ratio;14.74309305;;
73680.811182;Oxygen sensor 1 Wide Range Equivalence ratio;14.72336565;;
73681.445182;Oxygen sensor 1 Wide Range Equivalence ratio;14.5238499;;
73682.072182;Oxygen sensor 1 Wide Range Equivalence ratio;13.74775605;;
73682.751182;Oxygen sensor 1 Wide Range Equivalence ratio;14.0199045;;
73683.298182;Oxygen sensor 1 Wide Range Equivalence ratio;14.03828685;;
73683.986182;Oxygen sensor 1 Wide Range Equivalence ratio;14.4350766;;
73684.664182;Oxygen sensor 1 Wide Range Equivalence ratio;14.54761245;;
73685.362182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6601483;;
73685.939182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6484912;;
73686.535182;Oxygen sensor 1 Wide Range Equivalence ratio;14.9246748;;
73687.112182;Oxygen sensor 1 Wide Range Equivalence ratio;15.082494;;
73687.709182;Oxygen sensor 1 Wide Range Equivalence ratio;15.02824365;;
73688.376182;Oxygen sensor 1 Wide Range Equivalence ratio;14.97892515;;
73689.124182;Oxygen sensor 1 Wide Range Equivalence ratio;14.96906145;;
73689.681182;Oxygen sensor 1 Wide Range Equivalence ratio;14.79689505;;
73690.187182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6099331;;
73690.874182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6063463;;
73691.628182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7480249;;
73692.600182;Oxygen sensor 1 Wide Range Equivalence ratio;14.68391085;;
73693.674182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7722358;;
73694.422182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7578886;;
73695.383182;Oxygen sensor 1 Wide Range Equivalence ratio;14.76282045;;
73696.609182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7820995;;
73698.111182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7820995;;
73699.379182;Oxygen sensor 1 Wide Range Equivalence ratio;14.7480249;;
73700.850182;Oxygen sensor 1 Wide Range Equivalence ratio;13.92261255;;
73702.092182;Oxygen sensor 1 Wide Range Equivalence ratio;14.44090515;;
73703.149182;Oxygen sensor 1 Wide Range Equivalence ratio;14.59782765;;
73703.782182;Oxygen sensor 1 Wide Range Equivalence ratio;14.6511813;;
