SECONDS;PID;VALUE;UNITS;
73665.015182;Oxygen sensor 1 Wide Range Voltage;2.467694;V;
73666.177182;Oxygen sensor 1 Wide Range Voltage;2.4888;V;
73666.885182;Oxygen sensor 1 Wide Range Voltage;2.497828;V;
73667.492182;Oxygen sensor 1 Wide Range Voltage;2.486848;V;
73668.040182;Oxygen sensor 1 Wide Range Voltage;2.496852;V;
73668.718182;Oxygen sensor 1 Wide Range Voltage;2.498804;V;
73669.447182;Oxygen sensor 1 Wide Range Voltage;2.506124;V;
73669.983182;Oxygen sensor 1 Wide Range Voltage;2.509662;V;
73670.682182;Oxygen sensor 1 Wide Range Voltage;2.50954;V;
73671.279182;Oxygen sensor 1 Wide Range Voltage;2.50588;V;
73672.672182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73673.370182;Oxygen sensor 1 Wide Range Voltage;2.502708;V;
73674.579182;Oxygen sensor 1 Wide Range Voltage;2.50527;V;
73675.276182;Oxygen sensor 1 Wide Range Voltage;2.505758;V;
73676.305182;Oxygen sensor 1 Wide Range Voltage;2.505392;V;
73676.943182;Oxygen sensor 1 Wide Range Voltage;2.503562;V;
73677.612182;Oxygen sensor 1 Wide Range Voltage;2.502952;V;
73678.310182;Oxygen sensor 1 Wide Range Voltage;2.501854;V;
73678.907182;Oxygen sensor 1 Wide Range Voltage;2.500878;V;
73679.556182;Oxygen sensor 1 Wide Range Voltage;2.499902;V;
73680.112182;Oxygen sensor 1 Wide Range Voltage;2.500024;V;
73680.811182;Oxygen sensor 1 Wide Range Voltage;2.499536;V;
73681.445182;Oxygen sensor 1 Wide Range Voltage;2.49063;V;
73682.072182;Oxygen sensor 1 Wide Range Voltage;2.454274;V;
73682.751182;Oxygen sensor 1 Wide Range Voltage;2.467084;V;
73683.298182;Oxygen sensor 1 Wide Range Voltage;2.467938;V;
73683.986182;Oxygen sensor 1 Wide Range Voltage;2.486482;V;
73684.664182;Oxygen sensor 1 Wide Range Voltage;2.491728;V;
73685.362182;Oxygen sensor 1 Wide Range Voltage;2.496974;V;
73685.939182;Oxygen sensor 1 Wide Range Voltage;2.496486;V;
73686.535182;Oxygen sensor 1 Wide Range Voltage;2.50527;V;
73687.112182;Oxygen sensor 1 Wide Range Voltage;2.509662;V;
73687.709182;Oxygen sensor 1 Wide Range Voltage;2.508076;V;
73688.376182;Oxygen sensor 1 Wide Range Voltage;2.506734;V;
73689.124182;Oxygen sensor 1 Wide Range Voltage;2.50649;V;
73689.681182;Oxygen sensor 1 Wide Range Voltage;2.50161;V;
73690.187182;Oxygen sensor 1 Wide Range Voltage;2.494656;V;
73690.874182;Oxygen sensor 1 Wide Range Voltage;2.494534;V;
73691.628182;Oxygen sensor 1 Wide Range Voltage;2.500268;V;
73692.600182;Oxygen sensor 1 Wide Range Voltage;2.498194;V;
73693.674182;Oxygen sensor 1 Wide Range Voltage;2.500878;V;
73694.422182;Oxygen sensor 1 Wide Range Voltage;2.500512;V;
73695.383182;Oxygen sensor 1 Wide Range Voltage;2.500634;V;
73696.609182;Oxygen sensor 1 Wide Range Voltage;2.501244;V;
73698.111182;Oxygen sensor 1 Wide Range Voltage;2.501244;V;
73699.379182;Oxygen sensor 1 Wide Range Voltage;2.500268;V;
73700.850182;Oxygen sensor 1 Wide Range Voltage;2.462448;V;
73702.092182;Oxygen sensor 1 Wide Range Voltage;2.486726;V;
73703.149182;Oxygen sensor 1 Wide Range Voltage;2.494168;V;
73703.782182;Oxygen sensor 1 Wide Range Voltage;2.496608;V;
73704.493182;Oxygen sensor 1 Wide Range Voltage;2.500512;V;
73705.171182;Oxygen sensor 1 Wide Range Voltage;2.50527;V;
73705.769182;Oxygen sensor 1 Wide Range Voltage;2.50527;V;
73706.397182;Oxygen sensor 1 Wide Range Voltage;2.506002;V;
73707.107182;Oxygen sensor 1 Wide Range Voltage;2.504294;V;
73707.623182;Oxygen sensor 1 Wide Range Voltage;2.501976;V;
73708.250182;Oxygen sensor 1 Wide Range Voltage;2.494412;V;
73708.867182;Oxygen sensor 1 Wide Range Voltage;2.493436;V;
73709.473182;Oxygen sensor 1 Wide Range Voltage;2.49795;V;
73710.090182;Oxygen sensor 1 Wide Range Voltage;2.501;V;
73710.688182;Oxygen sensor 1 Wide Range Voltage;2.501976;V;
73711.356182;Oxygen sensor 1 Wide Range Voltage;2.502708;V;
73712.026182;Oxygen sensor 1 Wide Range Voltage;2.503074;V;
73712.714182;Oxygen sensor 1 Wide Range Voltage;2.502342;V;
73713.412182;Oxygen sensor 1 Wide Range Voltage;2.50161;V;
73714.070182;Oxygen sensor 1 Wide Range Voltage;2.501;V;
73714.780182;Oxygen sensor 1 Wide Range Voltage;2.501;V;
73715.469182;Oxygen sensor 1 Wide Range Voltage;2.500756;V;
73716.123182;Oxygen sensor 1 Wide Range Voltage;2.49978;V;
73717.189182;Oxygen sensor 1 Wide Range Voltage;2.49917;V;
73718.627182;Oxygen sensor 1 Wide Range Voltage;2.461228;V;
73719.912182;Oxygen sensor 1 Wide Range Voltage;2.480382;V;
73721.383182;Oxygen sensor 1 Wide Range Voltage;2.488556;V;
73723.051182;Oxygen sensor 1 Wide Range Voltage;2.503806;V;
73724.494182;Oxygen sensor 1 Wide Range Voltage;2.505148;V;
73725.823182;Oxygen sensor 1 Wide Range Voltage;2.505514;V;
73727.142182;Oxygen sensor 1 Wide Range Voltage;2.491118;V;
73728.600182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73730.051182;Oxygen sensor 1 Wide Range Voltage;2.50161;V;
73731.362182;Oxygen sensor 1 Wide Range Voltage;2.501122;V;
73732.679182;Oxygen sensor 1 Wide Range Voltage;2.501244;V;
73733.413182;Oxygen sensor 1 Wide Range Voltage;2.500268;V;
73734.102182;Oxygen sensor 1 Wide Range Voltage;2.499902;V;
73734.709182;Oxygen sensor 1 Wide Range Voltage;2.49917;V;
73735.274182;Oxygen sensor 1 Wide Range Voltage;2.498438;V;
73736.185182;Oxygen sensor 1 Wide Range Voltage;2.472452;V;
73737.685182;Oxygen sensor 1 Wide Range Voltage;2.491728;V;
73739.143182;Oxygen sensor 1 Wide Range Voltage;2.505026;V;
73740.707182;Oxygen sensor 1 Wide Range Voltage;2.507466;V;
73742.111182;Oxygen sensor 1 Wide Range Voltage;2.503806;V;
73743.566182;Oxygen sensor 1 Wide Range Voltage;2.501244;V;
73744.584182;Oxygen sensor 1 Wide Range Voltage;2.487214;V;
73745.234182;Oxygen sensor 1 Wide Range Voltage;2.48819;V;
73745.922182;Oxygen sensor 1 Wide Range Voltage;2.49673;V;
73746.520182;Oxygen sensor 1 Wide Range Voltage;2.496852;V;
73747.188182;Oxygen sensor 1 Wide Range Voltage;2.496242;V;
73747.725182;Oxygen sensor 1 Wide Range Voltage;2.499536;V;
73748.374182;Oxygen sensor 1 Wide Range Voltage;2.498804;V;
73748.992182;Oxygen sensor 1 Wide Range Voltage;2.498804;V;
73749.691182;Oxygen sensor 1 Wide Range Voltage;2.501122;V;
73750.249182;Oxygen sensor 1 Wide Range Voltage;2.500024;V;
73750.969182;Oxygen sensor 1 Wide Range Voltage;2.499658;V;
73751.637182;Oxygen sensor 1 Wide Range Voltage;2.501488;V;
73752.365182;Oxygen sensor 1 Wide Range Voltage;2.500024;V;
73752.948182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73753.869182;Oxygen sensor 1 Wide Range Voltage;2.500756;V;
73755.340182;Oxygen sensor 1 Wide Range Voltage;2.450004;V;
73756.574182;Oxygen sensor 1 Wide Range Voltage;2.488678;V;
73758.093182;Oxygen sensor 1 Wide Range Voltage;2.505514;V;
73759.742182;Oxygen sensor 1 Wide Range Voltage;2.507954;V;
73761.304182;Oxygen sensor 1 Wide Range Voltage;2.501976;V;
73762.645182;Oxygen sensor 1 Wide Range Voltage;2.489532;V;
73764.260182;Oxygen sensor 1 Wide Range Voltage;2.50161;V;
73765.790182;Oxygen sensor 1 Wide Range Voltage;2.501854;V;
73766.458182;Oxygen sensor 1 Wide Range Voltage;2.50222;V;
73767.070182;Oxygen sensor 1 Wide Range Voltage;2.501366;V;
73767.668182;Oxygen sensor 1 Wide Range Voltage;2.501;V;
73768.296182;Oxygen sensor 1 Wide Range Voltage;2.501488;V;
73768.864182;Oxygen sensor 1 Wide Range Voltage;2.500878;V;
73769.522182;Oxygen sensor 1 Wide Range Voltage;2.49978;V;
73770.170182;Oxygen sensor 1 Wide Range Voltage;2.499048;V;
73770.778182;Oxygen sensor 1 Wide Range Voltage;2.498316;V;
73771.516182;Oxygen sensor 1 Wide Range Voltage;2.498316;V;
73772.145182;Oxygen sensor 1 Wide Range Voltage;2.498438;V;
73772.783182;Oxygen sensor 1 Wide Range Voltage;2.497706;V;
73773.410182;Oxygen sensor 1 Wide Range Voltage;2.500634;V;
73773.978182;Oxygen sensor 1 Wide Range Voltage;2.480138;V;
73774.564182;Oxygen sensor 1 Wide Range Voltage;2.430606;V;
73775.172182;Oxygen sensor 1 Wide Range Voltage;2.468182;V;
73775.770182;Oxygen sensor 1 Wide Range Voltage;2.477332;V;
73776.316182;Oxygen sensor 1 Wide Range Voltage;2.494534;V;
73776.954182;Oxygen sensor 1 Wide Range Voltage;2.5071;V;
73777.501182;Oxygen sensor 1 Wide Range Voltage;2.510394;V;
73778.158182;Oxygen sensor 1 Wide Range Voltage;2.51076;V;
73778.755182;Oxygen sensor 1 Wide Range Voltage;2.505514;V;
73779.213182;Oxygen sensor 1 Wide Range Voltage;2.500024;V;
73779.756182;Oxygen sensor 1 Wide Range Voltage;2.499536;V;
73780.736182;Oxygen sensor 1 Wide Range Voltage;2.50405;V;
73781.981182;Oxygen sensor 1 Wide Range Voltage;2.502708;V;
73783.336182;Oxygen sensor 1 Wide Range Voltage;2.501488;V;
73784.623182;Oxygen sensor 1 Wide Range Voltage;2.50222;V;
73785.883182;Oxygen sensor 1 Wide Range Voltage;2.502708;V;
73787.139182;Oxygen sensor 1 Wide Range Voltage;2.500756;V;
73788.439182;Oxygen sensor 1 Wide Range Voltage;2.499658;V;
73789.919182;Oxygen sensor 1 Wide Range Voltage;2.499902;V;
73791.328182;Oxygen sensor 1 Wide Range Voltage;2.477576;V;
73792.849182;Oxygen sensor 1 Wide Range Voltage;2.484042;V;
73794.456182;Oxygen sensor 1 Wide Range Voltage;2.500878;V;
73795.328182;Oxygen sensor 1 Wide Range Voltage;2.503318;V;
73795.912182;Oxygen sensor 1 Wide Range Voltage;2.502342;V;
73796.528182;Oxygen sensor 1 Wide Range Voltage;2.502464;V;
73797.216182;Oxygen sensor 1 Wide Range Voltage;2.501854;V;
73797.763182;Oxygen sensor 1 Wide Range Voltage;2.50039;V;
73798.432182;Oxygen sensor 1 Wide Range Voltage;2.49978;V;
73799.080182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73799.679182;Oxygen sensor 1 Wide Range Voltage;2.499658;V;
73800.147182;Oxygen sensor 1 Wide Range Voltage;2.49978;V;
73800.815182;Oxygen sensor 1 Wide Range Voltage;2.500024;V;
73801.353182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73801.910182;Oxygen sensor 1 Wide Range Voltage;2.499414;V;
73802.933182;Oxygen sensor 1 Wide Range Voltage;2.498316;V;
73803.762182;Oxygen sensor 1 Wide Range Voltage;2.498316;V;
73804.302182;Oxygen sensor 1 Wide Range Voltage;2.49856;V;
73805.630182;Oxygen sensor 1 Wide Range Voltage;2.498316;V;
73806.319182;Oxygen sensor 1 Wide Range Voltage;2.497462;V;
73806.867182;Oxygen sensor 1 Wide Range Voltage;2.497584;V;
73807.898182;Oxygen sensor 1 Wide Range Voltage;2.498804;V;
73808.918182;Oxygen sensor 1 Wide Range Voltage;2.497096;V;
73810.233182;Oxygen sensor 1 Wide Range Voltage;2.496974;V;
73810.921182;Oxygen sensor 1 Wide Range Voltage;2.497584;V;
73811.699182;Oxygen sensor 1 Wide Range Voltage;2.496974;V;
73812.367182;Oxygen sensor 1 Wide Range Voltage;2.497462;V;
73812.985182;Oxygen sensor 1 Wide Range Voltage;2.496608;V;
73813.733182;Oxygen sensor 1 Wide Range Voltage;2.497218;V;
73814.411182;Oxygen sensor 1 Wide Range Voltage;2.497462;V;
73815.109182;Oxygen sensor 1 Wide Range Voltage;2.496852;V;
73815.717182;Oxygen sensor 1 Wide Range Voltage;2.497828;V;
73816.945182;Oxygen sensor 1 Wide Range Voltage;2.498438;V;
73817.543182;Oxygen sensor 1 Wide Range Voltage;2.49734;V;
73818.221182;Oxygen sensor 1 Wide Range Voltage;2.497706;V;
73818.737182;Oxygen sensor 1 Wide Range Voltage;2.497462;V;
73819.317182;Oxygen sensor 1 Wide Range Voltage;2.496608;V;
73819.954182;Oxygen sensor 1 Wide Range Voltage;2.396324;V;
