SECONDS;PID;VALUE;UNITS;
73664.944182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73666.126182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73666.835182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73667.432182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73668.019182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73668.647182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73669.426182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73669.963182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73670.661182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73671.259182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73672.591182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73673.350182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73674.538182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73675.206182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73676.264182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73676.902182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73677.561182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73678.289182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73678.887182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73679.475182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73680.092182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73680.790182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73681.424182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73682.022182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73682.690182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73683.277182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73683.945182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73684.644182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73685.312182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73685.888182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73686.515182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73687.092182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73687.688182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73688.356182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73689.053182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73689.661182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73690.167182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73690.854182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73691.585182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73692.550182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73693.613182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73694.381182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73695.284182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73696.523182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73698.001182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73699.331182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73700.741182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73701.987182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73703.129182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73703.741182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73704.413182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73705.121182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73705.749182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73706.367182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73707.056182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73707.603182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73708.230182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
73708.847182;Oxygen sensor 2 Bank 1 Short term fuel trim;0;%;
