SECONDS;PID;VALUE;UNITS;
73664.944182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73666.126182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73666.835182;Oxygen sensor 2 Bank 1 Voltage;0.77;V;
73667.432182;Oxygen sensor 2 Bank 1 Voltage;0.765;V;
73668.019182;Oxygen sensor 2 Bank 1 Voltage;0.765;V;
73668.647182;Oxygen sensor 2 Bank 1 Voltage;0.76;V;
73669.426182;Oxygen sensor 2 Bank 1 Voltage;0.75;V;
73669.963182;Oxygen sensor 2 Bank 1 Voltage;0.745;V;
73670.661182;Oxygen sensor 2 Bank 1 Voltage;0.725;V;
73671.259182;Oxygen sensor 2 Bank 1 Voltage;0.705;V;
73672.591182;Oxygen sensor 2 Bank 1 Voltage;0.68;V;
73673.350182;Oxygen sensor 2 Bank 1 Voltage;0.67;V;
73674.538182;Oxygen sensor 2 Bank 1 Voltage;0.665;V;
73675.206182;Oxygen sensor 2 Bank 1 Voltage;0.66;V;
73676.264182;Oxygen sensor 2 Bank 1 Voltage;0.65;V;
73676.902182;Oxygen sensor 2 Bank 1 Voltage;0.635;V;
73677.561182;Oxygen sensor 2 Bank 1 Voltage;0.635;V;
73678.289182;Oxygen sensor 2 Bank 1 Voltage;0.635;V;
73678.887182;Oxygen sensor 2 Bank 1 Voltage;0.63;V;
73679.475182;Oxygen sensor 2 Bank 1 Voltage;0.635;V;
73680.092182;Oxygen sensor 2 Bank 1 Voltage;0.64;V;
73680.790182;Oxygen sensor 2 Bank 1 Voltage;0.635;V;
73681.424182;Oxygen sensor 2 Bank 1 Voltage;0.64;V;
73682.022182;Oxygen sensor 2 Bank 1 Voltage;0.66;V;
73682.690182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73683.277182;Oxygen sensor 2 Bank 1 Voltage;0.795;V;
73683.945182;Oxygen sensor 2 Bank 1 Voltage;0.8;V;
73684.644182;Oxygen sensor 2 Bank 1 Voltage;0.795;V;
73685.312182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73685.888182;Oxygen sensor 2 Bank 1 Voltage;0.77;V;
73686.515182;Oxygen sensor 2 Bank 1 Voltage;0.76;V;
73687.092182;Oxygen sensor 2 Bank 1 Voltage;0.745;V;
73687.688182;Oxygen sensor 2 Bank 1 Voltage;0.725;V;
73688.356182;Oxygen sensor 2 Bank 1 Voltage;0.71;V;
73689.053182;Oxygen sensor 2 Bank 1 Voltage;0.7;V;
73689.661182;Oxygen sensor 2 Bank 1 Voltage;0.695;V;
73690.167182;Oxygen sensor 2 Bank 1 Voltage;0.69;V;
73690.854182;Oxygen sensor 2 Bank 1 Voltage;0.675;V;
73691.585182;Oxygen sensor 2 Bank 1 Voltage;0.665;V;
73692.550182;Oxygen sensor 2 Bank 1 Voltage;0.65;V;
73693.613182;Oxygen sensor 2 Bank 1 Voltage;0.65;V;
73694.381182;Oxygen sensor 2 Bank 1 Voltage;0.64;V;
73695.284182;Oxygen sensor 2 Bank 1 Voltage;0.645;V;
73696.523182;Oxygen sensor 2 Bank 1 Voltage;0.645;V;
73698.001182;Oxygen sensor 2 Bank 1 Voltage;0.65;V;
73699.331182;Oxygen sensor 2 Bank 1 Voltage;0.645;V;
73700.741182;Oxygen sensor 2 Bank 1 Voltage;0.77;V;
73701.987182;Oxygen sensor 2 Bank 1 Voltage;0.8;V;
73703.129182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73703.741182;Oxygen sensor 2 Bank 1 Voltage;0.765;V;
73704.413182;Oxygen sensor 2 Bank 1 Voltage;0.755;V;
73705.121182;Oxygen sensor 2 Bank 1 Voltage;0.74;V;
73705.749182;Oxygen sensor 2 Bank 1 Voltage;0.73;V;
73706.367182;Oxygen sensor 2 Bank 1 Voltage;0.72;V;
73707.056182;Oxygen sensor 2 Bank 1 Voltage;0.71;V;
73707.603182;Oxygen sensor 2 Bank 1 Voltage;0.705;V;
73708.230182;Oxygen sensor 2 Bank 1 Voltage;0.7;V;
73708.847182;Oxygen sensor 2 Bank 1 Voltage;0.69;V;
73709.443182;Oxygen sensor 2 Bank 1 Voltage;0.685;V;
73710.070182;Oxygen sensor 2 Bank 1 Voltage;0.68;V;
73710.667182;Oxygen sensor 2 Bank 1 Voltage;0.68;V;
73711.315182;Oxygen sensor 2 Bank 1 Voltage;0.68;V;
73711.956182;Oxygen sensor 2 Bank 1 Voltage;0.675;V;
73712.694182;Oxygen sensor 2 Bank 1 Voltage;0.675;V;
73713.392182;Oxygen sensor 2 Bank 1 Voltage;0.67;V;
73713.999182;Oxygen sensor 2 Bank 1 Voltage;0.67;V;
73714.729182;Oxygen sensor 2 Bank 1 Voltage;0.67;V;
73715.429182;Oxygen sensor 2 Bank 1 Voltage;0.665;V;
73716.083182;Oxygen sensor 2 Bank 1 Voltage;0.665;V;
73717.093182;Oxygen sensor 2 Bank 1 Voltage;0.66;V;
73718.537182;Oxygen sensor 2 Bank 1 Voltage;0.695;V;
73719.892182;Oxygen sensor 2 Bank 1 Voltage;0.785;V;
73721.278182;Oxygen sensor 2 Bank 1 Voltage;0.78;V;
73722.943182;Oxygen sensor 2 Bank 1 Voltage;0.76;V;
73724.466182;Oxygen sensor 2 Bank 1 Voltage;0.725;V;
73725.756182;Oxygen sensor 2 Bank 1 Voltage;0.695;V;
73727.102182;Oxygen sensor 2 Bank 1 Voltage;0.68;V;
