SECONDS;PID;VALUE;UNITS;
73664.882182;Power from MAF;4.62;hp;
73666.045182;Power from MAF;4.488;hp;
73666.814182;Power from MAF;2.952;hp;
73667.411182;Power from MAF;4.32;hp;
73667.999182;Power from MAF;4.38;hp;
73668.627182;Power from MAF;4.692;hp;
73669.406182;Power from MAF;4.704;hp;
73669.942182;Power from MAF;3.18;hp;
73670.641182;Power from MAF;3.408;hp;
73671.238182;Power from MAF;3.624;hp;
73672.430182;Power from MAF;3.024;hp;
73673.310182;Power from MAF;2.58;hp;
73674.498182;Power from MAF;2.544;hp;
73675.165182;Power from MAF;3.696;hp;
73676.244182;Power from MAF;3.624;hp;
73676.832182;Power from MAF;2.736;hp;
73677.541182;Power from MAF;2.652;hp;
73678.269182;Power from MAF;3.504;hp;
73678.867182;Power from MAF;2.58;hp;
73679.404182;Power from MAF;3.444;hp;
73680.072182;Power from MAF;3.348;hp;
73680.750182;Power from MAF;4.728;hp;
73681.404182;Power from MAF;2.76;hp;
73682.001182;Power from MAF;4.692;hp;
73682.670182;Power from MAF;4.308;hp;
73683.227182;Power from MAF;4.404;hp;
73683.885182;Power from MAF;4.008;hp;
73684.624182;Power from MAF;4.236;hp;
73685.292182;Power from MAF;4.332;hp;
73685.868182;Power from MAF;3.312;hp;
73686.464182;Power from MAF;3.18;hp;
73687.071182;Power from MAF;4.356;hp;
73687.668182;Power from MAF;4.488;hp;
73688.335182;Power from MAF;3.624;hp;
73688.973182;Power from MAF;2.664;hp;
73689.600182;Power from MAF;3.468;hp;
73690.126182;Power from MAF;3.144;hp;
73690.804182;Power from MAF;2.892;hp;
73691.544182;Power from MAF;3.948;hp;
73692.529182;Power from MAF;4.068;hp;
73693.562182;Power from MAF;2.592;hp;
73694.360182;Power from MAF;3.324;hp;
73695.267182;Power from MAF;3.912;hp;
73696.478182;Power from MAF;3.684;hp;
73697.859182;Power from MAF;2.484;hp;
73699.260182;Power from MAF;3.12;hp;
73700.633182;Power from MAF;3.348;hp;
73701.962182;Power from MAF;3.756;hp;
73703.108182;Power from MAF;3.852;hp;
73703.687182;Power from MAF;4.488;hp;
73704.372182;Power from MAF;4.788;hp;
73705.070182;Power from MAF;3.216;hp;
73705.728182;Power from MAF;3.984;hp;
73706.346182;Power from MAF;4.572;hp;
