SECONDS;PID;VALUE;UNITS;
73665.298182;Relative accelerator pedal position;0;%;
73666.419182;Relative accelerator pedal position;0;%;
73667.057182;Relative accelerator pedal position;0;%;
73667.614182;Relative accelerator pedal position;0;%;
73668.232182;Relative accelerator pedal position;0;%;
73668.860182;Relative accelerator pedal position;0;%;
73669.528182;Relative accelerator pedal position;0;%;
73670.246182;Relative accelerator pedal position;0;%;
73670.833182;Relative accelerator pedal position;0;%;
73671.542182;Relative accelerator pedal position;0;%;
73672.934182;Relative accelerator pedal position;0;%;
73673.532182;Relative accelerator pedal position;0;%;
73674.721182;Relative accelerator pedal position;0;%;
73675.408182;Relative accelerator pedal position;0;%;
73676.406182;Relative accelerator pedal position;0;%;
73677.126182;Relative accelerator pedal position;0;%;
73677.803182;Relative accelerator pedal position;0;%;
73678.431182;Relative accelerator pedal position;0;%;
73679.029182;Relative accelerator pedal position;0;%;
73679.687182;Relative accelerator pedal position;0;%;
73680.284182;Relative accelerator pedal position;0;%;
73681.003182;Relative accelerator pedal position;0;%;
73681.566182;Relative accelerator pedal position;0;%;
73682.265182;Relative accelerator pedal position;0;%;
73682.862182;Relative accelerator pedal position;0;%;
73683.490182;Relative accelerator pedal position;0;%;
73684.138182;Relative accelerator pedal position;0;%;
73684.896182;Relative accelerator pedal position;0;%;
73685.554182;Relative accelerator pedal position;0;%;
73686.080182;Relative accelerator pedal position;0;%;
73686.707182;Relative accelerator pedal position;0;%;
73687.284182;Relative accelerator pedal position;0;%;
73687.890182;Relative accelerator pedal position;0;%;
73688.568182;Relative accelerator pedal position;0;%;
73689.246182;Relative accelerator pedal position;0;%;
73689.802182;Relative accelerator pedal position;0;%;
73690.349182;Relative accelerator pedal position;0;%;
73691.066182;Relative accelerator pedal position;0;%;
73691.820182;Relative accelerator pedal position;0;%;
73692.783182;Relative accelerator pedal position;0;%;
73693.924182;Relative accelerator pedal position;0;%;
73694.655182;Relative accelerator pedal position;0;%;
73695.686182;Relative accelerator pedal position;0;%;
73696.943182;Relative accelerator pedal position;0;%;
