SECONDS;PID;VALUE;UNITS;
73664.486182;Short term fuel % trim - Bank 1;-0.78125;%;
73665.581182;Short term fuel % trim - Bank 1;-1.5625;%;
73666.651182;Short term fuel % trim - Bank 1;-2.34375;%;
73667.249182;Short term fuel % trim - Bank 1;-2.34375;%;
73667.786182;Short term fuel % trim - Bank 1;-2.34375;%;
73668.434182;Short term fuel % trim - Bank 1;-2.34375;%;
73669.112182;Short term fuel % trim - Bank 1;-2.34375;%;
73669.680182;Short term fuel % trim - Bank 1;-1.5625;%;
73670.408182;Short term fuel % trim - Bank 1;-0.78125;%;
73670.975182;Short term fuel % trim - Bank 1;-0.78125;%;
73671.986182;Short term fuel % trim - Bank 1;-0.78125;%;
73673.097182;Short term fuel % trim - Bank 1;-0.78125;%;
73673.654182;Short term fuel % trim - Bank 1;0;%;
73674.943182;Short term fuel % trim - Bank 1;0;%;
73675.509182;Short term fuel % trim - Bank 1;0.78125;%;
73676.609182;Short term fuel % trim - Bank 1;0.78125;%;
73677.308182;Short term fuel % trim - Bank 1;1.5625;%;
73678.026182;Short term fuel % trim - Bank 1;1.5625;%;
73678.603182;Short term fuel % trim - Bank 1;1.5625;%;
73679.181182;Short term fuel % trim - Bank 1;1.5625;%;
73679.799182;Short term fuel % trim - Bank 1;1.5625;%;
73680.446182;Short term fuel % trim - Bank 1;1.5625;%;
73681.145182;Short term fuel % trim - Bank 1;1.5625;%;
73681.738182;Short term fuel % trim - Bank 1;1.5625;%;
73682.487182;Short term fuel % trim - Bank 1;0;%;
73683.044182;Short term fuel % trim - Bank 1;-0.78125;%;
73683.592182;Short term fuel % trim - Bank 1;-1.5625;%;
73684.370182;Short term fuel % trim - Bank 1;-1.5625;%;
73685.049182;Short term fuel % trim - Bank 1;-1.5625;%;
73685.676182;Short term fuel % trim - Bank 1;-1.5625;%;
73686.202182;Short term fuel % trim - Bank 1;-1.5625;%;
73686.839182;Short term fuel % trim - Bank 1;-1.5625;%;
73687.445182;Short term fuel % trim - Bank 1;-0.78125;%;
73688.073182;Short term fuel % trim - Bank 1;-0.78125;%;
73688.770182;Short term fuel % trim - Bank 1;0;%;
73689.387182;Short term fuel % trim - Bank 1;0;%;
73689.894182;Short term fuel % trim - Bank 1;0;%;
73690.490182;Short term fuel % trim - Bank 1;0;%;
73691.239182;Short term fuel % trim - Bank 1;0;%;
73692.104182;Short term fuel % trim - Bank 1;0;%;
73693.127182;Short term fuel % trim - Bank 1;0;%;
73694.144182;Short term fuel % trim - Bank 1;0.78125;%;
73695.000182;Short term fuel % trim - Bank 1;0.78125;%;
73696.039182;Short term fuel % trim - Bank 1;0.78125;%;
73697.311182;Short term fuel % trim - Bank 1;0.78125;%;
73698.766182;Short term fuel % trim - Bank 1;1.5625;%;
73700.079182;Short term fuel % trim - Bank 1;0.78125;%;
73701.372182;Short term fuel % trim - Bank 1;-0.78125;%;
73702.637182;Short term fuel % trim - Bank 1;-1.5625;%;
73703.474182;Short term fuel % trim - Bank 1;-1.5625;%;
73704.089182;Short term fuel % trim - Bank 1;-1.5625;%;
73704.888182;Short term fuel % trim - Bank 1;-1.5625;%;
73705.425182;Short term fuel % trim - Bank 1;-0.78125;%;
73706.104182;Short term fuel % trim - Bank 1;-0.78125;%;
73706.762182;Short term fuel % trim - Bank 1;0;%;
73707.340182;Short term fuel % trim - Bank 1;0;%;
73707.947182;Short term fuel % trim - Bank 1;0;%;
73708.573182;Short term fuel % trim - Bank 1;0;%;
73709.180182;Short term fuel % trim - Bank 1;0;%;
73709.767182;Short term fuel % trim - Bank 1;0;%;
73710.384182;Short term fuel % trim - Bank 1;0;%;
73710.972182;Short term fuel % trim - Bank 1;0;%;
73711.682182;Short term fuel % trim - Bank 1;0;%;
73712.380182;Short term fuel % trim - Bank 1;0.78125;%;
73713.048182;Short term fuel % trim - Bank 1;0.78125;%;
73713.676182;Short term fuel % trim - Bank 1;0.78125;%;
73714.385182;Short term fuel % trim - Bank 1;0.78125;%;
73715.175182;Short term fuel % trim - Bank 1;1.5625;%;
73715.807182;Short term fuel % trim - Bank 1;1.5625;%;
73716.558182;Short term fuel % trim - Bank 1;1.5625;%;
73717.808182;Short term fuel % trim - Bank 1;1.5625;%;
73719.199182;Short term fuel % trim - Bank 1;-0.78125;%;
