SECONDS;PID;VALUE;UNITS;
73664.750182;Timing advance;12;°;
73665.924182;Timing advance;11;°;
73666.774182;Timing advance;9;°;
73667.371182;Timing advance;12;°;
73667.938182;Timing advance;11;°;
73668.566182;Timing advance;12;°;
73669.365182;Timing advance;12;°;
73669.831182;Timing advance;11;°;
73670.580182;Timing advance;3;°;
73671.158182;Timing advance;8;°;
73672.319182;Timing advance;11;°;
73673.269182;Timing advance;11;°;
73674.427182;Timing advance;11;°;
73675.125182;Timing advance;11;°;
73676.203182;Timing advance;11;°;
73676.771182;Timing advance;10;°;
73677.470182;Timing advance;11;°;
73678.168182;Timing advance;11;°;
73678.796182;Timing advance;11;°;
73679.343182;Timing advance;10;°;
73679.981182;Timing advance;10;°;
73680.669182;Timing advance;13;°;
73681.353182;Timing advance;10;°;
73681.961182;Timing advance;13;°;
73682.629182;Timing advance;10;°;
73683.186182;Timing advance;12;°;
73683.774182;Timing advance;10;°;
73684.573182;Timing advance;14;°;
73685.231182;Timing advance;10;°;
73685.828182;Timing advance;13;°;
73686.404182;Timing advance;12;°;
73687.000182;Timing advance;11;°;
73687.607182;Timing advance;12;°;
73688.275182;Timing advance;12;°;
73688.932182;Timing advance;2;°;
73689.539182;Timing advance;7;°;
73690.056182;Timing advance;9;°;
73690.672182;Timing advance;9;°;
73691.443182;Timing advance;9;°;
73692.407182;Timing advance;10;°;
73693.491182;Timing advance;11;°;
73694.258182;Timing advance;11;°;
73695.127182;Timing advance;12;°;
73696.364182;Timing advance;12;°;
73697.732182;Timing advance;12;°;
73699.150182;Timing advance;17;°;
73700.433182;Timing advance;15;°;
73701.862182;Timing advance;15;°;
73703.067182;Timing advance;13;°;
73703.647182;Timing advance;12;°;
73704.301182;Timing advance;12;°;
73705.020182;Timing advance;12;°;
73705.657182;Timing advance;11;°;
73706.276182;Timing advance;11;°;
73706.884182;Timing advance;4;°;
73707.462182;Timing advance;5;°;
73708.149182;Timing advance;8;°;
73708.755182;Timing advance;10;°;
73709.352182;Timing advance;11;°;
73709.989182;Timing advance;11;°;
73710.586182;Timing advance;10;°;
73711.164182;Timing advance;10;°;
73711.874182;Timing advance;10;°;
73712.552182;Timing advance;10;°;
73713.271182;Timing advance;10;°;
73713.868182;Timing advance;10;°;
73714.587182;Timing advance;11;°;
73715.368182;Timing advance;10;°;
73715.979182;Timing advance;11;°;
73716.926182;Timing advance;12;°;
73718.261182;Timing advance;12;°;
73719.608182;Timing advance;12;°;
73720.973182;Timing advance;13;°;
73722.657182;Timing advance;13;°;
73724.184182;Timing advance;13;°;
73725.441182;Timing advance;4;°;
73726.857182;Timing advance;10;°;
73728.288182;Timing advance;10;°;
73729.746182;Timing advance;11;°;
73731.113182;Timing advance;11;°;
73732.467182;Timing advance;11;°;
73733.209182;Timing advance;12;°;
73733.920182;Timing advance;11;°;
73734.618182;Timing advance;12;°;
73735.163182;Timing advance;18;°;
73735.902182;Timing advance;8;°;
73737.412182;Timing advance;13;°;
73738.764182;Timing advance;12;°;
73740.344182;Timing advance;11;°;
73741.744182;Timing advance;12;°;
