SECONDS;PID;VALUE;UNITS;
73667.917182;Vehicle acceleration;0;g;
73668.546182;Vehicle acceleration;0;g;
73669.345182;Vehicle acceleration;0;g;
73669.791182;Vehicle acceleration;0;g;
73670.560182;Vehicle acceleration;0;g;
73671.137182;Vehicle acceleration;0;g;
73672.298182;Vehicle acceleration;0;g;
73673.249182;Vehicle acceleration;0;g;
73674.407182;Vehicle acceleration;0;g;
73675.054182;Vehicle acceleration;0;g;
73676.163182;Vehicle acceleration;0;g;
73676.750182;Vehicle acceleration;0;g;
73677.450182;Vehicle acceleration;0;g;
73678.148182;Vehicle acceleration;0;g;
73678.745182;Vehicle acceleration;0;g;
73679.323182;Vehicle acceleration;0;g;
73679.940182;Vehicle acceleration;0;g;
73680.648182;Vehicle acceleration;0;g;
73681.333182;Vehicle acceleration;0;g;
73681.890182;Vehicle acceleration;0;g;
73682.589182;Vehicle acceleration;0;g;
73683.146182;Vehicle acceleration;0;g;
73683.753182;Vehicle acceleration;0;g;
73684.553182;Vehicle acceleration;0;g;
73685.190182;Vehicle acceleration;0;g;
73685.787182;Vehicle acceleration;0;g;
73686.363182;Vehicle acceleration;0;g;
73686.960182;Vehicle acceleration;0;g;
73687.587182;Vehicle acceleration;0;g;
73688.214182;Vehicle acceleration;0;g;
73688.912182;Vehicle acceleration;0;g;
73689.499182;Vehicle acceleration;0;g;
73690.035182;Vehicle acceleration;0;g;
73690.652182;Vehicle acceleration;0;g;
73691.382182;Vehicle acceleration;0;g;
73692.356182;Vehicle acceleration;0;g;
73693.390182;Vehicle acceleration;0;g;
73694.230182;Vehicle acceleration;0;g;
73695.091182;Vehicle acceleration;0;g;
73696.344182;Vehicle acceleration;0;g;
73697.644182;Vehicle acceleration;0;g;
73699.044182;Vehicle acceleration;0;g;
73700.342182;Vehicle acceleration;0;g;
73701.806182;Vehicle acceleration;0;g;
73702.992182;Vehicle acceleration;0;g;
73703.626182;Vehicle acceleration;0;g;
73704.281182;Vehicle acceleration;0;g;
73705.000182;Vehicle acceleration;0;g;
73705.607182;Vehicle acceleration;0;g;
73706.255182;Vehicle acceleration;0;g;
73706.864182;Vehicle acceleration;0;g;
73707.441182;Vehicle acceleration;0;g;
73708.128182;Vehicle acceleration;0;g;
