SECONDS;PID;VALUE;UNITS;
73664.699182;Vehicle speed;0;mph;
73665.873182;Vehicle speed;0;mph;
73666.753182;Vehicle speed;0;mph;
73667.350182;Vehicle speed;0;mph;
73667.917182;Vehicle speed;0;mph;
73668.546182;Vehicle speed;0;mph;
73669.345182;Vehicle speed;0;mph;
73669.791182;Vehicle speed;0;mph;
73670.560182;Vehicle speed;0;mph;
73671.137182;Vehicle speed;0;mph;
73672.298182;Vehicle speed;0;mph;
73673.249182;Vehicle speed;0;mph;
73674.407182;Vehicle speed;0;mph;
73675.054182;Vehicle speed;0;mph;
73676.163182;Vehicle speed;0;mph;
73676.750182;Vehicle speed;0;mph;
73677.450182;Vehicle speed;0;mph;
73678.148182;Vehicle speed;0;mph;
73678.745182;Vehicle speed;0;mph;
73679.323182;Vehicle speed;0;mph;
73679.940182;Vehicle speed;0;mph;
73680.648182;Vehicle speed;0;mph;
73681.333182;Vehicle speed;0;mph;
73681.890182;Vehicle speed;0;mph;
73682.589182;Vehicle speed;0;mph;
73683.146182;Vehicle speed;0;mph;
73683.753182;Vehicle speed;0;mph;
73684.553182;Vehicle speed;0;mph;
73685.190182;Vehicle speed;0;mph;
73685.787182;Vehicle speed;0;mph;
73686.363182;Vehicle speed;0;mph;
73686.960182;Vehicle speed;0;mph;
73687.587182;Vehicle speed;0;mph;
73688.214182;Vehicle speed;0;mph;
73688.912182;Vehicle speed;0;mph;
73689.499182;Vehicle speed;0;mph;
73690.035182;Vehicle speed;0;mph;
73690.652182;Vehicle speed;0;mph;
73691.382182;Vehicle speed;0;mph;
73692.356182;Vehicle speed;0;mph;
73693.390182;Vehicle speed;0;mph;
73694.230182;Vehicle speed;0;mph;
73695.091182;Vehicle speed;0;mph;
73696.344182;Vehicle speed;0;mph;
73697.644182;Vehicle speed;0;mph;
73699.044182;Vehicle speed;0;mph;
73700.342182;Vehicle speed;0;mph;
73701.806182;Vehicle speed;0;mph;
73702.992182;Vehicle speed;0;mph;
73703.626182;Vehicle speed;0;mph;
73704.281182;Vehicle speed;0;mph;
73705.000182;Vehicle speed;0;mph;
73705.607182;Vehicle speed;0;mph;
73706.255182;Vehicle speed;0;mph;
73706.864182;Vehicle speed;0;mph;
73707.441182;Vehicle speed;0;mph;
73708.128182;Vehicle speed;0;mph;
73708.675182;Vehicle speed;0;mph;
73709.332182;Vehicle speed;0;mph;
73709.969182;Vehicle speed;0;mph;
73710.485182;Vehicle speed;0;mph;
73711.144182;Vehicle speed;0;mph;
73711.854182;Vehicle speed;0;mph;
73712.512182;Vehicle speed;0;mph;
73713.250182;Vehicle speed;0;mph;
73713.848182;Vehicle speed;0;mph;
73714.567182;Vehicle speed;0;mph;
73715.327182;Vehicle speed;0;mph;
73715.949182;Vehicle speed;0;mph;
73716.853182;Vehicle speed;0;mph;
73718.151182;Vehicle speed;0;mph;
73719.511182;Vehicle speed;0;mph;
