"SECONDS";"PID";"VALUE";"UNITS";
"57975.062117";"Calculated engine load value";"29.8039215686275";"%";
"57975.115117";"Short term fuel % trim - Bank 1";"1.5625";"%";
"57975.166117";"Long term fuel % trim - Bank 1";"-10.15625";"%";
"57975.216117";"Calculated boost";"-0.66325";"bar";
"57975.216117";"Intake manifold absolute pressure";"35";"kPa";
"57975.269117";"Engine RPM";"709";"rpm";
"57975.269117";"Engine RPM x1000";"0.7";"rpm";
"57975.329117";"Vehicle speed";"0";"mph";
"57975.381117";"Timing advance";"13";"°";
"57975.432117";"Intake air temperature";"84.2";"℉";
"57975.483117";"MAF air flow rate";"2.85";"g/sec";
"57975.483117";"Power from MAF";"3.42";"hp";
"57975.533117";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";
"57975.533117";"Oxygen sensor 2 Bank 1 Voltage";"0.8";"V";
"57975.584117";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.5928958";"";
"57975.584117";"Oxygen sensor 1 Wide Range Voltage";"2.493802";"V";
"57975.664117";"Commanded evaporative purge";"0";"%";
"57975.715117";"Fuel/Air commanded equivalence ratio";"14.5945062";"";
"57975.766117";"Absolute Evap system Vapor pressure";"101.285";"kPa";
"57975.816117";"Relative accelerator pedal position";"0";"%";
"57975.877117";"Commanded Fuel Rail Pressure ";"4000";"kPa";
"57975.877117";"Fuel Rail Pressure";"6050";"kPa";
"57975.938117";"Fuel System A Use Percentage Bank 1";"0";"%";
"57975.938117";"Fuel System B Use Percentage Bank 1";"100";"%";
"57975.999117";"Cyl1 Misfire for current drive";"10";"";
"57975.999117";"Misfire Cylinder 1 Data - MID$A2";"1";"";
"57975.999117";"Misfire Cylinder 1 Data - MID$A2";"10";"";
"57976.052117";"Cyl2 Misfire for current drive";"25";"";
"57976.052117";"Misfire Cylinder 2 Data - MID$A3";"3";"";
"57976.052117";"Misfire Cylinder 2 Data - MID$A3";"25";"";
"57976.103117";"Cyl3 Misfire for current drive";"7";"";
"57976.103117";"Misfire Cylinder 3 Data - MID$A4";"1";"";
"57976.103117";"Misfire Cylinder 3 Data - MID$A4";"7";"";
"57976.154117";"Cyl4 Misfire for current drive";"3";"";
"57976.154117";"Misfire Cylinder 4 Data - MID$A5";"1";"";
"57976.154117";"Misfire Cylinder 4 Data - MID$A5";"3";"";
"57976.225117";"Calculated engine load value";"34.5098039215686";"%";
"57976.275117";"Short term fuel % trim - Bank 1";"1.5625";"%";
"57976.326117";"Long term fuel % trim - Bank 1";"-10.15625";"%";
"57976.376117";"Calculated boost";"-0.64325";"bar";
"57976.376117";"Intake manifold absolute pressure";"37";"kPa";
"57976.416117";"Barometric pressure";"101";"kPa";
"57976.426117";"Barometric pressure";"101";"kPa";
"57976.477117";"Engine RPM";"695";"rpm";
"57976.477117";"Engine RPM x1000";"0.7";"rpm";
"57976.527117";"Distance travelled";"0";"miles";
"57976.527117";"Distance travelled (total)";"0";"miles";
"57976.527117";"Vehicle speed";"0";"mph";
"57976.578117";"Timing advance";"12";"°";
"57976.629117";"Intake air temperature";"84.2";"℉";
"57976.679117";"MAF air flow rate";"3.4";"g/sec";
"57976.679117";"Power from MAF";"4.08";"hp";
"57976.730117";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";
"57976.730117";"Oxygen sensor 2 Bank 1 Voltage";"0.79";"V";
"57976.780117";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.74757655";"";
"57976.780117";"Oxygen sensor 1 Wide Range Voltage";"2.500268";"V";
"57976.861117";"Commanded evaporative purge";"0";"%";
"57976.912117";"Fuel/Air commanded equivalence ratio";"14.5878084";"";
"57976.962117";"Absolute Evap system Vapor pressure";"101.285";"kPa";
"57977.012117";"Relative accelerator pedal position";"0";"%";
"57977.063117";"Commanded Fuel Rail Pressure ";"4000";"kPa";
"57977.063117";"Fuel Rail Pressure";"6060";"kPa";
"57977.124117";"Fuel System A Use Percentage Bank 1";"0";"%";
"57977.124117";"Fuel System B Use Percentage Bank 1";"100";"%";
"57977.175117";"Cyl1 Misfire for current drive";"10";"";
"57977.175117";"Misfire Cylinder 1 Data - MID$A2";"1";"";
"57977.175117";"Misfire Cylinder 1 Data - MID$A2";"10";"";
"57977.225117";"Cyl2 Misfire for current drive";"25";"";
"57977.225117";"Misfire Cylinder 2 Data - MID$A3";"3";"";
