GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:09:03 MST 2025,02-Nov-2025 01:09:03.382,-121.76873004,37.32706578,0.0,3.2160000801086426,111.0,0.0,-0.91937345,4.63517427,8.78672028,0.03600305,
Sun Nov 02 01:09:04 MST 2025,02-Nov-2025 01:09:04.382,-121.76873001,37.32706579,0.0,3.2160000801086426,111.0,0.0,0.31603462,4.69263554,7.90086555,-0.04371136,
Sun Nov 02 01:09:05 MST 2025,02-Nov-2025 01:09:05.383,-121.76872998,37.32706578,0.0,3.2160000801086426,111.0,0.0,-1.32638776,5.34864664,8.27436066,0.03239924,
Sun Nov 02 01:09:06 MST 2025,02-Nov-2025 01:09:06.383,-121.76872994,37.3270658,0.0,3.2160000801086426,111.0,0.0,-1.41257906,4.78840351,8.52335835,0.02591592,
Sun Nov 02 01:09:07 MST 2025,02-Nov-2025 01:09:07.383,-121.76872992,37.3270658,0.0,3.2160000801086426,111.0,0.0,-1.15879357,4.5394063,8.91600704,0.0457024,
Sun Nov 02 01:09:08 MST 2025,02-Nov-2025 01:09:08.382,-121.7687299,37.32706579,0.0,3.2160000801086426,111.0,0.0,-2.07337856,6.56490088,7.65186882,0.03704284,
Sun Nov 02 01:09:09 MST 2025,02-Nov-2025 01:09:09.383,-121.76872988,37.32706579,0.0,3.2160000801086426,111.0,0.0,-0.9768343,3.92170238,9.27992535,0.05078453,
Sun Nov 02 01:09:10 MST 2025,02-Nov-2025 01:09:10.383,-121.76872987,37.32706578,0.0,3.2160000801086426,111.0,0.0,-1.27371526,4.55855989,8.67179871,0.02607626,
Sun Nov 02 01:09:11 MST 2025,02-Nov-2025 01:09:11.383,-121.76872985,37.32706577,0.0,3.2160000801086426,111.0,0.0,-1.18752408,4.5250411,9.059659,0.05837363,
Sun Nov 02 01:09:12 MST 2025,02-Nov-2025 01:09:12.382,-121.76872987,37.32706578,0.0,3.2160000801086426,111.0,0.0,-1.74776721,5.14274502,8.03494072,0.00764394,
